SKU,INVENTARIO
00-0053-05-BW,0
00-0054-05-BW,0
00-0073-DL-DL,1
00-0073-J6-J6,0
00-2726-AP-05,1
00-2726-AQ-78,57
00-2727-AP-05,0
00-3642-BW-M3,68
00-3685-BW-M1,17
00-4925-34-M1,0
00-4925-F5-M1,0
00-4943-14-B9,2
00-4946-14-B9,0
00-4949-14-B9,1
00-5278-BW-BW,14
00-5280-BW-BW,8
00-5346-F5-F5,0
00-5348-14-14,0
00-5348-J6-J6,1
00-5351-60-60,0
00-5435-60-13,26
00-5456-DL-DL,17
00-5456-J6-J6,1
00-5458-BW-F9,3
00-5478-14-14,0
00-5479-14-14V1,0
00-5575-14-14,0
00-5576-14-14,1
00-5576-F5-F5,2
00-5577-34-34,1
00-5669-S4-CG,1
00-5677-14-M1,0
00-5693-05-05,296
00-5922-14-RU,1
00-5922-DL-OU,0
00-5923-60-OU,2
00-5923-60-RU,1
00-5924-14-RU,1
00-5924-60-OU,4
00-5925-14-OU,1
00-5926-60-RU,2
00-5927-60-OU,1
00-5928-14-OU,2
00-5928-60-OU,2
00-5928-60-RU,2
00-5929-14-OU,1
00-5929-60-OU,0
00-5930-05-34,2
00-5931-05-34,24
00-5978-14-14,5
00-5978-60-60,1
00-5978-J6-J6,1
00-5979-F5-F5,1
00-5989-14-14,1
00-5989-F5-F5,1
00-5990-60-60,1
00-5991-J6-J6,1
00-5995-J6-J6,1
00-5996-60-60,3
00-5999-05-M1,1
00-6000-05-M1,46
00-6002-05-M1,0
00-6014-27-M1,0
00-6015-27-M1,0
00-6017-27-27,78
00-6019-27-27,3
00-6020-27-27,0
00-6414-93-05,6
00-6662-14-60,1
00-6670-21-21,0
00-7341-60-00,503
00-7341-81-00,141
00-7341-81-XB,1
00-7341-DN-00,135
00-7341-DN-DA,4
00-7342-60-00,355
00-7342-60-DA,6
00-7342-81-00,124
00-7342-81-DA,2
00-7342-DN-00,21
00-7342-DN-DA,1
00-7383-05-05,8
00-7388-05-DL,0
00-7389-05-DL,1
00-7403-05-DL,1
00-7408-14-00,13
00-7434-60-00,1
00-7434-N3-00,21
00-7434-Z5-00,8
00-7464-14-00,1
00-7464-60-00,35
00-7494-60-00,82
00-7560-14-00,1
00-7561-14-00,1
00-7588-60-DO,0
00-7614-21-55,0
00-7742-DN-DN,0
00-7902-05-05,0
00-7977-05-05,1
00-7977-DN-DN,0
00-7981-05-05,0
00-7992-DN-DN,1
00-8110-05-ES,22
00-8282-05-M1,0
00-8304-05-M1,0
00-8320-60-27,1
00-8391-DN-05,137
00-8413-05-DN,2
00-8541-14-14,112
00-9151-18-E7,1
00-9156-14-M1,0
00-9298-14-M1,6
00-A013-14-14,0
00-A017-14-14,63
00-A021-05-M1,0
00-A096-05-M1,0
00-A122-05-M1,53
00-A123-05-M1,66
05-0070-14-14,95
05-0070-S2-14,0
05-0072-34-34,0
05-0392-21-14,0
05-0392-21-25,0
05-1411-21-F9,1233
05-1507-21-M1,158
05-1508-21-M1,64
05-1611-81-M2,79
05-1796-14-14,8
05-1804-14-00,48
05-1819-AF-AF,4
05-1819-BW-BW,0
05-1940-81-81,487
05-1940-BW-BW,851
05-1941-81-82,634
05-1941-BW-82,477
05-2019-14-14,0
05-2019-S2-14,17
05-2499-54-H6,0
05-2543-81-Q3,2
05-2704-21-21,191
05-2705-21-21,2
05-2705-81-81,46
05-2706-21-21,0
05-2706-81-81V1,0
05-2706-E4-E4,64
05-2755-81-21,190
05-2756-81-21,0
05-2758-14-82,0
05-2814-81-05,1
05-2815-81-81,1
05-2817-81-14,6
05-2820-21-21,17
05-2820-81-81,60
05-2830-34-34,528
05-2830-34-34V1,10
05-2830-81-81,252
05-2831-05-05V1,37
05-2831-34-34,0
05-2831-81-81,237
05-2835-54-54,1578
05-2835-54-54V2,2
05-2838-21-21,101
05-2840-21-82,138
05-2845-21-21,1320
05-2904-14-00,3
05-3213-21-B4,4
05-3217-21-82,0
05-3217-81-82,252
05-3218-19-82,5
05-3218-21-82,180
05-3980-S2-14,85
05-4385-21-M1,9
05-4394-78-M1,73
05-4695-81-82,835
05-4695-Y2-82,230
05-4720-BW-BW,4
05-4755-CI-23,0
05-4787-BW-BW,360
05-4931-14-14,30
05-5092-BW-B9,0
05-5093-81-B9,50
05-5276-BW-M1,0
05-5296-DN-DNV1,0
05-5308-21-M1,0
05-5330-S2-14,0
05-5425-CI-20,1
05-5427-CI-20,0
05-5458-Z5-F9,2
05-5488-BW-BW,0
05-5625-05-81,0
05-5677-14-M1,0
05-5964-14-M1,1
05-5964-34-M1,1
05-5964-J6-M1,1
05-5968-21-21,1
05-5968-BW-BW,1
05-6024-21-21,264
05-6068-14-14,197
05-6068-81-81,60
05-6395-21-M1,0
05-6398-21-M1,158
05-6414-DC-05,4
05-6415-DC-05,4
05-6420-14-14,25
05-6420-14-81,63
05-6420-81-14,44
05-6420-81-81,0
05-6420-DN-14,2
05-6420-DN-81,9
05-6420-Z5-14,1
05-6420-Z5-Z5,44
05-6421-14-81,0
05-6421-14-Z5,1
05-6421-81-05,2
05-6421-Z5-DN,0
05-6421-Z5-Z5,1
05-6424-05-05,0
05-6424-81-81,108
05-6428-05-81,2
05-6428-14-14,0
05-6428-14-81,28
05-6428-81-05,2
05-6428-81-81,7
05-6428-Z5-81,1
05-6428-Z5-Z5,0
05-7367-14-14,284
05-7370-14-14,142
05-7370-81-81,11
05-7382-05-05,0
05-7385-05-05,9
05-7562-14-M1,7
05-7563-14-M1,74
05-7564-14-M1,111
05-7587-14-M3,0
05-7587-81-M3,359
05-7976-81-EL,54
05-8260-05-M1,1
05-8361-05-DN,10
05-8363-05-DN,11
05-8402-81-81,4
05-8509-05-05,0
05-8509-81-81,44
05-8510-14-14,135
05-8961-14-CM,1
05-9211-CA-CL,0
05-9211-CA-CM,1
05-9212-CA-CM,1
05-9299-Z5-M3,0
05-9368-Z5-37,2
05-9410-Z5-B8,1
05-9416-14-37,12
05-9444-Z5-CD,0
05-9544-05-CM,13
05-9544-Z5-CL,1
05-9577-34-37,0
05-9592-34-37,1
05-9592-34-CL,17
05-9602-34-M1,11
05-9677-14-M1,1
05-9679-14-CL,0
05-9727-05-CM,0
05-9728-05-CM,0
05-9731-34-CM,0
05-9734-14-M1,4
05-9734-34-M1,0
05-9735-34-M1,7
05-9750-54-CLV1,1
05-9750-54-CM,22
05-9771-34-M2,0
05-9773-14-37,5
05-9773-34-37,157
05-9773-Z5-37V1,0
05-9773-Z5-CK,1
05-9773-Z5-CM,56
05-9779-34-CL,0
05-9780-34-M1,0
05-9813-34-CL,1417
05-9813-34-CM,0
05-9832-34-CL,0
05-9832-DL-CL,3
05-9832-Z5-CM,0
