Referenz,Version,Vorbestimmt,Typ,EAN13,Familie,Katalog,Nationaltarif,Garantie,"Etiqueta V/f","Full de dades",Beschreibung,masterfile.tender_text,masterfile.codi_duaner,Material,Fertig,Lang,Breite,Höhe,Projektion,Lichtquelle,"Eine Glühbirne einschließen",Energieeffizienz,"Masterbox Einheiten","Produkt aus dem Katalog entfernt",Produktstart,"Verpacktes Gewicht (kg)","Weight master box","Pes net (Kg)","Volumen Einheit (m3)","Volume Master box (m3)","Length Box 1","Kastenbreite 1","Höhenkiste 1","Length Box 2","Kastenbreite 2","Höhenkiste 2","Length Box 3","Kastenbreite 3","Höhenkiste 3","Length MB 1","Breitbahn 1","Höhe MB 1","Length MB 2","Breitbahn 2","Höhe MB 2","Length MB 3","Breitbahn 3","Höhe MB 3","Watts (W)","Lumens (lm)","Real Lumens (lm)","Temperatur de color LED (K)",CRI,Lichtstrahl,Regulierungstyp,IP,IK,"Web Bild","Umgebungsbild 1","Umgebungsbild 2","Umgebungsbild 3","Detailbild 1","Detailbild 2",IMC,EE,Fotometrie,masterfile.ploma_comercial,Zubehör,3D,masterfile.ies,masterfile.ldt,Kenia-Code,"RETILAP Codi","Marroc Codi","Landeskodex 4","Landeskodex 5","Landeskode 6",Model
05-6396-21-M1,V0,Ja,Bad,8435381496531,"Toilet Slim 632mm",Decorative,"235,45",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-6396-21-M1.html,"BAD IP44 TOILET SLIM 632MM LED 25W 3000K SCHALTBAR CHROM 1777LM","LedsC4 Toilet Slim 632mm 05-6396-21-M1  Bad für den Innenbereich   Design von C. Santolaria und Alex &amp; Manel Lluscà. Zeitloses Design. Ohne sichtbare Schrauben. Hohe Lichtleistung. Idealer IP Schutz für das Bad. Hoher CRI Wert. Lange Haltbarkeit bei intensiver Nutzung. Material Körper: Aluminium. Oberfläche Körper: Chrom. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Opal. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 1.1 Gewicht in kg (verpackt): 1.56  Klasse 2. IP: IP44. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: SAMSUNG. Maximale Leistung der Lichtquelle: 22W. Farbtemperatur: 3000K. Farbwiedergabeindex: 92. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 18.4. Photobiologisches Risiko: RG1. Lichtstrom (lm): 1777. Reale Lm/W: 71. Spannungs-/Frequenzbereich: 100-240/50-60Hz. Spannung: 3. Netzteil inklusive: Ja. Gesamtleistung: 25. Leistungsfaktor: 0.90. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,"Aluminium, Polycarbonat","Chrom, Opal",,,,,,Ja,F,4,"Auslauf DE",2018,"1,56","6,24","1,1","0,012","0,048",700,125,125,,,,,,,260,260,730,,,,,,,25,,1777,3000K,92,,Schaltbar,IP44,,https://files.ledsc4.com/main-photo/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/2/05-6396-21-M1,,,,https://files.ledsc4.com/imc/05-6396-21-M1.html,https://files.ledsc4.com/el/05-6396-21-M1.html,https://files.ledsc4.com/fm/05-6396-21-M1.html,https://files.ledsc4.com/pl/05-6396-21-M1.html,,https://files.ledsc4.com/3d/05-6396-21-M1.html,https://files.ledsc4.com/ies/05-6396-21-M1.html,https://files.ledsc4.com/ldt/05-6396-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 632mm"
05-6398-21-M1,V0,Ja,Bad,8435381496555,"Toilet Slim 1232mm",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-6398-21-M1.html,"BAD IP44 TOILET SLIM 1232MM LED 43.6W 3000K SCHALTBAR CHROM 3472LM","LedsC4 Toilet Slim 1232mm 05-6398-21-M1  Bad für den Innenbereich   Design von C. Santolaria und Alex &amp; Manel Lluscà. Zeitloses Design. Ohne sichtbare Schrauben. Hohe Lichtleistung. Idealer IP Schutz für das Bad. Hoher CRI Wert. Lange Haltbarkeit bei intensiver Nutzung. Material Körper: Aluminium. Oberfläche Körper: Chrom. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Opal. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 2.19 Gewicht in kg (verpackt): 3.2  Klasse 2. IP: IP44. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: SAMSUNG. Maximale Leistung der Lichtquelle: 37.6W. Farbtemperatur: 3000K. Farbwiedergabeindex: 92. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 18.5. Photobiologisches Risiko: RG1. Lichtstrom (lm): 3472. Reale Lm/W: 80. Spannungs-/Frequenzbereich: 100-240/50-60Hz. Spannung: 3. Netzteil inklusive: Ja. Gesamtleistung: 43.6. Leistungsfaktor: 0.90. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,"Aluminium, Polycarbonat","Chrom, Opal",,,,,,Ja,F,4,"Eingestellt DE",2018,"3,2","12,8","2,19","0,023","0,092",1300,125,120,,,,,,,260,265,1340,,,,,,,"43,6",,3472,3000K,92,,Schaltbar,IP44,,https://files.ledsc4.com/main-photo/05-6398-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6398-21-M1,,,,,https://files.ledsc4.com/imc/05-6398-21-M1.html,https://files.ledsc4.com/el/05-6398-21-M1.html,https://files.ledsc4.com/fm/05-6398-21-M1.html,https://files.ledsc4.com/pl/05-6398-21-M1.html,,https://files.ledsc4.com/3d/05-6398-21-M1.html,https://files.ledsc4.com/ies/05-6398-21-M1.html,https://files.ledsc4.com/ldt/05-6398-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 1232mm"
81-9914-Z5-Z5,V0,Ja,Mastleuchten,8435381495930,"Lyon Outdoor Structure 1810mm",Outdoor,"327,45",5,,https://files.ledsc4.com/ft2/de/81-9914-Z5-Z5.html,"MAST LYON, HÖHE 1810 MM, OBERFLÄCHE DUNKELGRAU, OHNE LEUCHTENKOPF","LedsC4 Lyon Outdoor Structure 1810mm 81-9914-Z5-Z5  Mastleuchten für den Außenbereich  Material Körper: Aluminium. Oberfläche Körper: Anthrazit. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Durchsichtig. Schutz gegen UV-Strahlung. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 4.47 Breite oder Durchmesser des Produkts (mm): 216 Produkthöhe (mm): 1810 Gewicht in kg (verpackt): 5.77  Netzteil inklusive: Nein.",7326909890,"Aluminium, Polycarbonat","Anthrazit, Durchsichtig",,216,1810,,,Nein,"NA EPREL",1,"Auslauf DE",2018,"5,77","5,77","4,47","0,103","0,103",1860,230,240,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/81-9914-Z5-Z5,https://files.ledsc4.com/ambience-photo/1/81-9914-Z5-Z5,,,,,https://files.ledsc4.com/imc/81-9914-Z5-Z5.html,,,https://files.ledsc4.com/pl/81-9914-Z5-Z5.html,https://files.ledsc4.com/ft3/de/81-9914-Z5-Z5.html,https://files.ledsc4.com/3d/81-9914-Z5-Z5.html,,,,,NA-Accessory,,,,"Lyon Lampost Base 1810mm"
15-6429-21-F9,V0,Nein,Bad,8435381497392,Circle,Decorative,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/de/15-6429-21-F9.html,"BAD IP44 CIRCLE LED 24.6W 3000K SCHALTBAR CHROM 1382LM","LedsC4 Circle 15-6429-21-F9  Bad für den Innenbereich   Design von G. Bernal. Zeitloses Design. Super slim. Ohne sichtbare Schrauben. Hohe Ist-Leistung  W/lm. Optimales Preis/Leistungsverhältnis. Idealer IP Schutz für das Bad. Lange Haltbarkeit bei intensiver Nutzung. Material Körper: Stahl. Oberfläche Körper: Chrom. Material Diffusor: Glas. Oberfläche Diffusor: Weiß. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 1.32 Breite oder Durchmesser des Produkts (mm): 274 Produkthöhe (mm): 52 Gewicht in kg (verpackt): 1.81  Klasse 1. Glühdrahtprüfung: 850. IP: IP44. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: EDISON. Maximale Leistung der Lichtquelle: 24.6W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 18.3. Photobiologisches Risiko: RG0. Lichtstrom (lm): 1382. Reale Lm/W: 56. Spannungs-/Frequenzbereich: 220-240/50-60Hz. Spannung: 3. Netzteil inklusive: Ja. Gesamtleistung: 24.6. dimmbares Betriebsgerät inklusive: Schaltbar.",9405115000,"Stahl, Glas","Chrom, Weiß",,274,52,,,Ja,E,6,"Eingestellt DE",2018,"1,81","10,86","1,32","0,018","0,108",336,140,336,,,,,,,690,445,350,,,,,,,"24,6",,1382,3000K,80,HORIZONTAL,Schaltbar,IP44,,https://files.ledsc4.com/main-photo/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/1/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/2/15-6429-21-F9,,,,https://files.ledsc4.com/imc/15-6429-21-F9.html,https://files.ledsc4.com/el/15-6429-21-F9.html,https://files.ledsc4.com/fm/15-6429-21-F9.html,https://files.ledsc4.com/pl/15-6429-21-F9.html,,https://files.ledsc4.com/3d/15-6429-21-F9.html,https://files.ledsc4.com/ies/15-6429-21-F9.html,https://files.ledsc4.com/ldt/15-6429-21-F9.html,,,FX-LED-I,,,,
PX-1801-BLA,V0,Ja,Deckenaufbauleuchte,8435381472856,"Ford Round",Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/PX-1801-BLA.html,"DECKENAUFBAULEUCHTE IP65 FORD ROUND E27 15W WEISS","LedsC4 Ford Round PX-1801-BLA  Deckenaufbauleuchte für den Außenbereich   Druckwasserfest. Stoßfest IK10. Material Körper: Polykarbonat + ABS. Oberfläche Körper: Weiß. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Opal. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 0.95 Breite oder Durchmesser des Produkts (mm): 300 Ausgang des Produktes (mm): 100 Gewicht in kg (verpackt): 1.24  Klasse 2. IP: IP65. IK: IK10. Gesamtleistung: 30.",9405194090,"Polykarbonat + ABS, Polycarbonat","Weiß, Opal",,300,,100,,Nein,"NA EPREL",6,"Auslauf DE",2018,"1,24","7,44","0,95","0,011","0,066",305,100,300,,,,,,,615,330,315,,,,,,,30,,,,,112º,,IP65,IK10,https://files.ledsc4.com/main-photo/PX-1801-BLA,https://files.ledsc4.com/ambience-photo/1/PX-1801-BLA,,,https://files.ledsc4.com/detail-photo/1/PX-1801-BLA,https://files.ledsc4.com/detail-photo/2/PX-1801-BLA,https://files.ledsc4.com/imc/PX-1801-BLA.html,,https://files.ledsc4.com/fm/PX-1801-BLA.html,https://files.ledsc4.com/pl/PX-1801-BLA.html,,,https://files.ledsc4.com/ies/PX-1801-BLA.html,https://files.ledsc4.com/ldt/PX-1801-BLA.html,,RETILAP-DECORATIVE,FX-INC-II,,,,
05-6424-14-14,V0,Nein,Leselicht,8435381499259,"Gamma USB",Decorative,"134,7",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-6424-14-14.html,"LESELICHT GAMMA USB LED 4.5W 2700K WEISS 137LM","LedsC4 Gamma USB 05-6424-14-14  Leselicht für den Innenbereich   Design von J. Patsí. Modernes Design. Sehr vielseitig. Zahlreiche Installationsmöglichkeiten. Vielseitig anpassbar: Zubehör, Verarbeitung… Qualitativ hochwertiges Finish. Optimales Preis/Leistungsverhältnis. Optimaler visueller Komfort. Netzwerkfähigkeit. Vollständige Kollektion mit ergänzenden Produkten. Lange Haltbarkeit bei intensiver Nutzung. Das optische Modul kann leicht um 360° geschwenkt werden. Material Körper: Aluminium. Oberfläche Körper: Weiß. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 0.57 Breite oder Durchmesser des Produkts (mm): 110 Produkthöhe (mm): 165 Ausgang des Produktes (mm): 72 Zulässige Stärke der Decke: 3-30 Gewicht in kg (verpackt): 0.83  Klasse 1. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Maximale Leistung der Lichtquelle: 2.2W. Farbtemperatur: 2700K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR:  13.9. Photobiologisches Risiko: RG2. Lichtstrom (lm): 137. Nominaler Lichtstrom (lm): 175. Reale Lm/W: 30. Spannung: 3. Netzteil inklusive: Ja. Gesamtleistung: 4.5. Leistungsfaktor: 0.44.",9405119090,Aluminium,Weiß,,110,165,72,"1xLED 2.2 175 lm",Ja,G,8,"Auslauf DE",2018,"0,83","6,64","0,57","0,005","0,04",160,120,220,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,,,,https://files.ledsc4.com/main-photo/05-6424-14-14,https://files.ledsc4.com/ambience-photo/1/05-6424-14-14,,,,,https://files.ledsc4.com/imc/05-6424-14-14.html,https://files.ledsc4.com/el/05-6424-14-14.html,https://files.ledsc4.com/fm/05-6424-14-14.html,https://files.ledsc4.com/pl/05-6424-14-14.html,,https://files.ledsc4.com/3d/05-6424-14-14.html,https://files.ledsc4.com/ies/05-6424-14-14.html,https://files.ledsc4.com/ldt/05-6424-14-14.html,,,FX-LED-I,,,,
05-6424-81-81,V0,Nein,Leselicht,8435381499266,"Gamma USB",Decorative,"150,19",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-6424-81-81.html,"LESELICHT GAMMA USB LED 4.5W 2700K SCHALTBAR NICKEL SEIDENMATT 137LM","LedsC4 Gamma USB 05-6424-81-81  Leselicht für den Innenbereich   Design von J. Patsí. Modernes Design. Sehr vielseitig. Zahlreiche Installationsmöglichkeiten. Vielseitig anpassbar: Zubehör, Verarbeitung… Qualitativ hochwertiges Finish. Optimales Preis/Leistungsverhältnis. Optimaler visueller Komfort. Netzwerkfähigkeit. Vollständige Kollektion mit ergänzenden Produkten. Lange Haltbarkeit bei intensiver Nutzung. Das optische Modul kann leicht um 360° geschwenkt werden. Material Körper: Aluminium. Oberfläche Körper: Nickel seidenmatt. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 0.57 Breite oder Durchmesser des Produkts (mm): 110 Produkthöhe (mm): 165 Ausgang des Produktes (mm): 72 Zulässige Stärke der Decke: 3-30 Gewicht in kg (verpackt): 0.83  Klasse 1. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Maximale Leistung der Lichtquelle: 2.2W. Farbtemperatur: 2700K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR:  13.9. Photobiologisches Risiko: RG2. Lichtstrom (lm): 137. Nominaler Lichtstrom (lm): 175. Reale Lm/W: 30. Spannungs-/Frequenzbereich: 100-240/50-60Hz. Spannung: 3. Netzteil inklusive: Ja. Gesamtleistung: 4.5. Leistungsfaktor: 0.40. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,Aluminium,"Nickel seidenmatt",,110,165,72,"1xLED 2.2 175 lm",Ja,G,8,"Auslauf DE",2018,"0,83","6,64","0,57","0,005","0,04",160,120,215,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/05-6424-81-81,https://files.ledsc4.com/ambience-photo/1/05-6424-81-81,,,,,https://files.ledsc4.com/imc/05-6424-81-81.html,https://files.ledsc4.com/el/05-6424-81-81.html,https://files.ledsc4.com/fm/05-6424-81-81.html,https://files.ledsc4.com/pl/05-6424-81-81.html,,https://files.ledsc4.com/3d/05-6424-81-81.html,https://files.ledsc4.com/ies/05-6424-81-81.html,https://files.ledsc4.com/ldt/05-6424-81-81.html,,,FX-LED-I,,,,
00-2726-AQ-78,V0,Nein,Pendelleuchten,8435111062821,"Umbrella Ø1000",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/00-2726-AQ-78.html,"PENDELLEUCHTEN UMBRELLA Ø1000 E27 45W SILBER 1500LM","LedsC4 Umbrella Ø1000 00-2726-AQ-78  Pendelleuchten für den Innenbereich  Material Körper: Stahl, PMMA. Oberfläche Körper: Silber. Material Diffusor: Glas, Textil. Oberfläche Diffusor: Mattiert, Silber. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 10 Breite oder Durchmesser des Produkts (mm): 1000 Produkthöhe (mm): 3000 Gewicht in kg (verpackt): 20.4  Klasse 1. IP: IP20. Gesamtleistung: 45.",9405194090,"Stahl, PMMA, Glas, Textil","Silber, Mattiert, Silber",,1000,3000,,,Nein,"NA EPREL",1,"Eingestellt DE",2014,"20,4","20,4",10,"0,996","0,996",1130,1130,780,,,,,,,,,,,,,,,,45,,1500,,,HORIZONTAL,,IP20,,https://files.ledsc4.com/main-photo/00-2726-AQ-78,https://files.ledsc4.com/ambience-photo/1/00-2726-AQ-78,,,,,https://files.ledsc4.com/imc/00-2726-AQ-78.html,,https://files.ledsc4.com/fm/00-2726-AQ-78.html,https://files.ledsc4.com/pl/00-2726-AQ-78.html,,https://files.ledsc4.com/3d/00-2726-AQ-78.html,https://files.ledsc4.com/ies/00-2726-AQ-78.html,,,,FX-INC-I,,,,"Umbrella Ø1000"
05-2830-34-34,V0,Nein,Leselicht,8435381454012,"Bed Round",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-2830-34-34.html,"LESELICHT BED ROUND LED 4.3W 3000K GRAU 65LM","LedsC4 Bed Round 05-2830-34-34  Leselicht für den Innenbereich   Optimales Preis/Leistungsverhältnis. Optimaler visueller Komfort. Leichte Installation. Lange Haltbarkeit bei intensiver Nutzung. Material Körper: Aluminium. Oberfläche Körper: Grau. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 0.5 Breite oder Durchmesser des Produkts (mm): 50 Produkthöhe (mm): 530 Ausgang des Produktes (mm): Min 24 Max 425 Durchmesser des Einbaulochs (mm): 11 Zulässige Stärke der Decke: 3-25 Gewicht in kg (verpackt): 0.66  Klasse 2. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Marke des Drivers: HEP. Maximale Leistung der Lichtquelle: 3W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR:  11.2. Photobiologisches Risiko: RG2. Lichtstrom (lm): 65. Nominaler Lichtstrom (lm): 162. Reale Lm/W: 15. Spannungs-/Frequenzbereich: 100-240. Spannung: 3. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive. Gesamtleistung: 4.3. Leistungsfaktor: 0.50.",9405119090,Aluminium,Grau,,50,530,"Min 24 Max 425","1xLED 3 162 lm",Ja,,20,"Eingestellt DE",2011,"0,66","13,2","0,5","0,004","0,08",80,60,575,,,,,,,,,,,,,,,,"4,3",162,65,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2830-34-34,,,,,,https://files.ledsc4.com/imc/05-2830-34-34.html,,https://files.ledsc4.com/fm/05-2830-34-34.html,https://files.ledsc4.com/pl/05-2830-34-34.html,,https://files.ledsc4.com/3d/05-2830-34-34.html,https://files.ledsc4.com/ies/05-2830-34-34.html,https://files.ledsc4.com/ldt/05-2830-34-34.html,,,FX-LED-II,,,,"Bed Round"
05-2835-54-54,V0,Nein,Leselicht,8435381454029,Wall,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-2835-54-54.html,"LESELICHT WALL LED 2.5W 3000K ELOXIERTES ALUMINIUM 39LM","LedsC4 Wall 05-2835-54-54  Leselicht für den Innenbereich   Zeitloses Design. Optimales Preis/Leistungsverhältnis. Optimaler visueller Komfort. Leichte Installation. Lange Haltbarkeit bei intensiver Nutzung. Material Körper: Aluminium. Oberfläche Körper: Eloxiertes Aluminium. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 0.14 Produkthöhe (mm): 30 Ausgang des Produktes (mm): Max 400 Min 180 Gewicht in kg (verpackt): 0.26  Klasse 2. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Maximale Leistung der Lichtquelle: 1.2W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR:  7.2. Photobiologisches Risiko: RG2. Lichtstrom (lm): 39. Nominaler Lichtstrom (lm): 94. Reale Lm/W: 16. Spannung: 3. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive. Gesamtleistung: 2.5.",9405119090,Aluminium,"Eloxiertes Aluminium",,,30,"Max 400 Min 180","1xLED 1.2 94.00 lm",Ja,G,30,"Eingestellt DE",2011,"0,26","7,8","0,14","0,001","0,03",53,45,430,,,,,,,,,,,,,,,,"2,5","94,00",39,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2835-54-54,,,,,,https://files.ledsc4.com/imc/05-2835-54-54.html,https://files.ledsc4.com/el/05-2835-54-54.html,https://files.ledsc4.com/fm/05-2835-54-54.html,https://files.ledsc4.com/pl/05-2835-54-54.html,,https://files.ledsc4.com/3d/05-2835-54-54.html,https://files.ledsc4.com/ies/05-2835-54-54.html,https://files.ledsc4.com/ldt/05-2835-54-54.html,,,FX-LED-II,,,,
