Reference,Version,Predetermined,Type,EAN13,Family,Catalog,"National Rate",Warranty,"Etiqueta V/f",Datasheet,Description,masterfile.tender_text,masterfile.codi_duaner,Material,Finish,Length,Width,Height,Projection,"Light source","Bulb included","Energy efficiency","Units master box","Discontinued item","Product launch","Weight packaged (KG)","Weight master box","Weight net (KG)","Volume Unit (m3)","Volume Master box (m3)","Length Box 1","Width Box 1","Height Box 1","Length Box 2","Width Box 2","Height Box 2","Length Box 3","Width Box 3","Height Box 3","Length MB 1","Width MB 1","Height MB 1","Length MB 2","Width MB 2","Height MB 2","Length MB 3","Width MB 3","Height MB 3","Wattage (W)","Lumen Output (lm)","Lumenes reales (lm)","Led Colour Temperature (K)",CRI,"Light Beam (º)","Regulation type","IP Rating",IK,"Web Image","Ambient Image 1","Ambient Image 2","Ambient Image 3","Detail Image 1","Detail Image 2",IMC,EE,Photometry,masterfile.ploma_comercial,Accessories,3D,masterfile.ies,masterfile.ldt,"Codi Kenia","Codi RETILAP","Codi Marroc","Country Code 4","Country Code 5","Country Code 6",Model
05-6396-21-M1,V0,Yes,Bath,8435381496531,"Toilet Slim 632mm",Decorative,"235,45",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-6396-21-M1.html,"BATH IP44 TOILET SLIM 632MM LED 25W 3000K ON-OFF CHROME 1777LM","LedsC4 Toilet Slim 632mm 05-6396-21-M1  Bath for indoor use.   For frontal lighting. Design by C. Santolaria and Alex &amp; Manel Lluscà. Timeless design. No visible screws. High lumen power. IP protection, ideal for bathrooms. High CRI. High durability for intensive use. Structure material: Aluminium. Structure finish: Chrome. Diffuser material: Polycarbonate. Diffuser finish: Opal. Warranty: 5 Years.  Product net weight (Kg): 1.1  Class 2. IP: IP44. LED. No. of lampholders or LEDs: 1. LED brand: SAMSUNG. Maximum power of light source: 22W. Colour temperature: 3000K. Colour rendering index: 92. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 18.4. Photobiological risk: RG1. Real flux (lm): 1777. Real lm/W: 71. Voltage / frequency range: 100-240/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 25. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Polycarbonate","Chrome, Opal",,,,,,Yes,F,4,"Discontinuo EN",2018,"1,56","6,24","1,1","0,012","0,048",700,125,125,,,,,,,260,260,730,,,,,,,25,,1777,3000K,92,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/2/05-6396-21-M1,,,,https://files.ledsc4.com/imc/05-6396-21-M1.html,https://files.ledsc4.com/el/05-6396-21-M1.html,https://files.ledsc4.com/fm/05-6396-21-M1.html,https://files.ledsc4.com/pl/05-6396-21-M1.html,,https://files.ledsc4.com/3d/05-6396-21-M1.html,https://files.ledsc4.com/ies/05-6396-21-M1.html,https://files.ledsc4.com/ldt/05-6396-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 632mm"
05-6398-21-M1,V0,Yes,Bath,8435381496555,"Toilet Slim 1232mm",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-6398-21-M1.html,"BATH IP44 TOILET SLIM 1232MM LED 43.6W 3000K ON-OFF CHROME 3472LM","LedsC4 Toilet Slim 1232mm 05-6398-21-M1  Bath for indoor use.   For frontal lighting. Design by C. Santolaria and Alex &amp; Manel Lluscà. Timeless design. No visible screws. High lumen power. IP protection, ideal for bathrooms. High CRI. High durability for intensive use. Structure material: Aluminium. Structure finish: Chrome. Diffuser material: Polycarbonate. Diffuser finish: Opal. Warranty: 2 Years.  Product net weight (Kg): 2.19  Class 2. IP: IP44. LED. No. of lampholders or LEDs: 1. LED brand: SAMSUNG. Maximum power of light source: 37.6W. Colour temperature: 3000K. Colour rendering index: 92. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 18.5. Photobiological risk: RG1. Real flux (lm): 3472. Real lm/W: 80. Voltage / frequency range: 100-240/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 43.6. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Polycarbonate","Chrome, Opal",,,,,,Yes,F,4,"Descatalogado EN",2018,"3,2","12,8","2,19","0,023","0,092",1300,125,120,,,,,,,260,265,1340,,,,,,,"43,6",,3472,3000K,92,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/05-6398-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6398-21-M1,,,,,https://files.ledsc4.com/imc/05-6398-21-M1.html,https://files.ledsc4.com/el/05-6398-21-M1.html,https://files.ledsc4.com/fm/05-6398-21-M1.html,https://files.ledsc4.com/pl/05-6398-21-M1.html,,https://files.ledsc4.com/3d/05-6398-21-M1.html,https://files.ledsc4.com/ies/05-6398-21-M1.html,https://files.ledsc4.com/ldt/05-6398-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 1232mm"
81-9914-Z5-Z5,V0,Yes,Streetlight,8435381495930,"Lyon Outdoor Structure 1810mm",Outdoor,"327,45",5,,https://files.ledsc4.com/ft2/en/81-9914-Z5-Z5.html,"LYON COLUMN 1810 MM IN HEIGHT IN DARK GREY FINISH, HEAD NOT INCLUDED","LedsC4 Lyon Outdoor Structure 1810mm 81-9914-Z5-Z5  Streetlight for outdoor use.   For lighting both sides. Structure material: Aluminium. Structure finish: Urban grey. Diffuser material: Polycarbonate. Diffuser finish: Transparent. UV protection. Warranty: 5 Years.  Product net weight (Kg): 4.47 Product width or diameter (mm): 216 Product height (mm): 1810  Equipment included: No.",7326909890,"Aluminium, Polycarbonate","Urban grey, Transparent",,216,1810,,,No,"NA EPREL",1,"Discontinuo EN",2018,"5,77","5,77","4,47","0,103","0,103",1860,230,240,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/81-9914-Z5-Z5,https://files.ledsc4.com/ambience-photo/1/81-9914-Z5-Z5,,,,,https://files.ledsc4.com/imc/81-9914-Z5-Z5.html,,,https://files.ledsc4.com/pl/81-9914-Z5-Z5.html,https://files.ledsc4.com/ft3/en/81-9914-Z5-Z5.html,https://files.ledsc4.com/3d/81-9914-Z5-Z5.html,,,,,NA-Accessory,,,,"Lyon Lampost Base 1810mm"
15-6429-21-F9,V0,No,Bath,8435381497392,Circle,Decorative,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/15-6429-21-F9.html,"BATH IP44 CIRCLE LED 24.6W 3000K ON-OFF CHROME 1382LM","LedsC4 Circle 15-6429-21-F9  Bath for indoor use.   For downlighting. Design by G. Bernal. Timeless design. Super slim. No visible screws. High performance W/effective lumens. Optimum price-performance. IP protection, ideal for bathrooms. High durability for intensive use. Structure material: Steel. Structure finish: Chrome. Diffuser material: Glass. Diffuser finish: White. Warranty: 2 Years.  Product net weight (Kg): 1.32 Product width or diameter (mm): 274 Product height (mm): 52  Class 1. Glow wire test: 850. IP: IP44. LED. No. of lampholders or LEDs: 1. LED brand: EDISON. Maximum power of light source: 24.6W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 18.3. Photobiological risk: RG0. Real flux (lm): 1382. Real lm/W: 56. Voltage / frequency range: 220-240/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 24.6. Dimmable equipment included: ON-OFF.",9405115000,"Steel, Glass","Chrome, White",,274,52,,,Yes,E,6,"Descatalogado EN",2018,"1,81","10,86","1,32","0,018","0,108",336,140,336,,,,,,,690,445,350,,,,,,,"24,6",,1382,3000K,80,HORIZONTAL,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/1/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/2/15-6429-21-F9,,,,https://files.ledsc4.com/imc/15-6429-21-F9.html,https://files.ledsc4.com/el/15-6429-21-F9.html,https://files.ledsc4.com/fm/15-6429-21-F9.html,https://files.ledsc4.com/pl/15-6429-21-F9.html,,https://files.ledsc4.com/3d/15-6429-21-F9.html,https://files.ledsc4.com/ies/15-6429-21-F9.html,https://files.ledsc4.com/ldt/15-6429-21-F9.html,,,FX-LED-I,,,,
PX-1801-BLA,V0,Yes,"Surface-mounted ceiling light",8435381472856,"Ford Round",Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/PX-1801-BLA.html,"SURFACE-MOUNTED CEILING LIGHT IP65 FORD ROUND E27 15W WHITE","LedsC4 Ford Round PX-1801-BLA  Surface-mounted ceiling light for outdoor use.   For frontal lighting. High pressure water resistant. Impact resistant IK10. Structure material: Polycarbonate + ABS. Structure finish: White. Diffuser material: Polycarbonate. Diffuser finish: Opal. Warranty: 5 Years.  Product net weight (Kg): 0.95 Product width or diameter (mm): 300 Product aperture (mm): 100  Class 2. IP: IP65. IK: IK10. Total power: 30.",9405194090,"Polycarbonate + ABS, Polycarbonate","White, Opal",,300,,100,,No,"NA EPREL",6,"Discontinuo EN",2018,"1,24","7,44","0,95","0,011","0,066",305,100,300,,,,,,,615,330,315,,,,,,,30,,,,,112º,,IP65,IK10,https://files.ledsc4.com/main-photo/PX-1801-BLA,https://files.ledsc4.com/ambience-photo/1/PX-1801-BLA,,,https://files.ledsc4.com/detail-photo/1/PX-1801-BLA,https://files.ledsc4.com/detail-photo/2/PX-1801-BLA,https://files.ledsc4.com/imc/PX-1801-BLA.html,,https://files.ledsc4.com/fm/PX-1801-BLA.html,https://files.ledsc4.com/pl/PX-1801-BLA.html,,,https://files.ledsc4.com/ies/PX-1801-BLA.html,https://files.ledsc4.com/ldt/PX-1801-BLA.html,,RETILAP-DECORATIVE,FX-INC-II,,,,
05-6424-14-14,V0,No,"Reading lights",8435381499259,"Gamma USB",Decorative,"134,7",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-6424-14-14.html,"READING LIGHTS GAMMA USB LED 4.5W 2700K WHITE 137LM","LedsC4 Gamma USB 05-6424-14-14  Reading lights for indoor use.   For frontal lighting and downlighting. Design by J. Patsi. Contemporary design. Highly versatile, multiple installations. Highly customisable: accessories, finishes… Premium finishes. Optimum price-performance. Optimum visual comfort. Connectivity. Full collection with complementary products. High durability for intensive use. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: White. Warranty: 5 Years.  Product net weight (Kg): 0.57 Product width or diameter (mm): 110 Product height (mm): 165 Product aperture (mm): 72 Permitted ceiling thickness: 3-30  Class 1. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 2.2W. Colour temperature: 2700K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  13.9. Photobiological risk: RG2. Real flux (lm): 137. Nominal flux (lm): 175. Real lm/W: 30. Voltage: 3. Equipment included: Yes. Total power: 4.5. Power factor: 0.44.",9405119090,Aluminium,White,,110,165,72,"1xLED 2.2 175 lm",Yes,G,8,"Discontinuo EN",2018,"0,83","6,64","0,57","0,005","0,04",160,120,220,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,,,,https://files.ledsc4.com/main-photo/05-6424-14-14,https://files.ledsc4.com/ambience-photo/1/05-6424-14-14,,,,,https://files.ledsc4.com/imc/05-6424-14-14.html,https://files.ledsc4.com/el/05-6424-14-14.html,https://files.ledsc4.com/fm/05-6424-14-14.html,https://files.ledsc4.com/pl/05-6424-14-14.html,,https://files.ledsc4.com/3d/05-6424-14-14.html,https://files.ledsc4.com/ies/05-6424-14-14.html,https://files.ledsc4.com/ldt/05-6424-14-14.html,,,FX-LED-I,,,,
05-6424-81-81,V0,No,"Reading lights",8435381499266,"Gamma USB",Decorative,"150,19",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-6424-81-81.html,"READING LIGHTS GAMMA USB LED 4.5W 2700K ON-OFF SATIN NICKEL 137LM","LedsC4 Gamma USB 05-6424-81-81  Reading lights for indoor use.   For frontal lighting and downlighting. Design by J. Patsi. Contemporary design. Highly versatile, multiple installations. Highly customisable: accessories, finishes… Premium finishes. Optimum price-performance. Optimum visual comfort. Connectivity. Full collection with complementary products. High durability for intensive use. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: Satin nickel. Warranty: 5 Years.  Product net weight (Kg): 0.57 Product width or diameter (mm): 110 Product height (mm): 165 Product aperture (mm): 72 Permitted ceiling thickness: 3-30  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 2.2W. Colour temperature: 2700K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  13.9. Photobiological risk: RG2. Real flux (lm): 137. Nominal flux (lm): 175. Real lm/W: 30. Voltage / frequency range: 100-240/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 4.5. Power factor: 0.40. Dimmable equipment included: ON-OFF.",9405119090,Aluminium,"Satin nickel",,110,165,72,"1xLED 2.2 175 lm",Yes,G,8,"Discontinuo EN",2018,"0,83","6,64","0,57","0,005","0,04",160,120,215,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-6424-81-81,https://files.ledsc4.com/ambience-photo/1/05-6424-81-81,,,,,https://files.ledsc4.com/imc/05-6424-81-81.html,https://files.ledsc4.com/el/05-6424-81-81.html,https://files.ledsc4.com/fm/05-6424-81-81.html,https://files.ledsc4.com/pl/05-6424-81-81.html,,https://files.ledsc4.com/3d/05-6424-81-81.html,https://files.ledsc4.com/ies/05-6424-81-81.html,https://files.ledsc4.com/ldt/05-6424-81-81.html,,,FX-LED-I,,,,
00-2726-AQ-78,V0,No,Pendant,8435111062821,"Umbrella Ø1000",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/00-2726-AQ-78.html,"PENDANT UMBRELLA Ø1000 E27 45W SILVER 1500LM","LedsC4 Umbrella Ø1000 00-2726-AQ-78  Pendant for indoor use.   For downlighting. Structure material: Steel, Methacrylate. Structure finish: Silver. Diffuser material: Glass, Textile. Diffuser finish: Tinted, Silver. Warranty: 3 Years.  Product net weight (Kg): 10 Product width or diameter (mm): 1000 Product height (mm): 3000  Class 1. IP: IP20. Total power: 45.",9405194090,"Steel, Methacrylate, Glass, Textile","Silver, Tinted, Silver",,1000,3000,,,No,"NA EPREL",1,"Descatalogado EN",2014,"20,4","20,4",10,"0,996","0,996",1130,1130,780,,,,,,,,,,,,,,,,45,,1500,,,HORIZONTAL,,IP20,,https://files.ledsc4.com/main-photo/00-2726-AQ-78,https://files.ledsc4.com/ambience-photo/1/00-2726-AQ-78,,,,,https://files.ledsc4.com/imc/00-2726-AQ-78.html,,https://files.ledsc4.com/fm/00-2726-AQ-78.html,https://files.ledsc4.com/pl/00-2726-AQ-78.html,,https://files.ledsc4.com/3d/00-2726-AQ-78.html,https://files.ledsc4.com/ies/00-2726-AQ-78.html,,,,FX-INC-I,,,,"Umbrella Ø1000"
05-2830-34-34,V0,No,"Reading lights",8435381454012,"Bed Round",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-2830-34-34.html,"READING LIGHTS BED ROUND LED 4.3W 3000K GREY 65LM","LedsC4 Bed Round 05-2830-34-34  Reading lights for indoor use.   For downlighting.. Optimum price-performance. Optimum visual comfort. Easy instalation. High durability for intensive use. Structure material: Aluminium. Structure finish: Grey. Warranty: 2 Years.  Product net weight (Kg): 0.5 Product width or diameter (mm): 50 Product height (mm): 530 Product aperture (mm): Min 24 Max 425 Ø of the hole for recessing (mm): 11 Permitted ceiling thickness: 3-25  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Driver brand: HEP. Maximum power of light source: 3W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  11.2. Photobiological risk: RG2. Real flux (lm): 65. Nominal flux (lm): 162. Real lm/W: 15. Voltage / frequency range: 100-240. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included. Total power: 4.3. Power factor: 0.50.",9405119090,Aluminium,Grey,,50,530,"Min 24 Max 425","1xLED 3 162 lm",Yes,,20,"Descatalogado EN",2011,"0,66","13,2","0,5","0,004","0,08",80,60,575,,,,,,,,,,,,,,,,"4,3",162,65,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2830-34-34,,,,,,https://files.ledsc4.com/imc/05-2830-34-34.html,,https://files.ledsc4.com/fm/05-2830-34-34.html,https://files.ledsc4.com/pl/05-2830-34-34.html,,https://files.ledsc4.com/3d/05-2830-34-34.html,https://files.ledsc4.com/ies/05-2830-34-34.html,https://files.ledsc4.com/ldt/05-2830-34-34.html,,,FX-LED-II,,,,"Bed Round"
05-2835-54-54,V0,No,"Reading lights",8435381454029,Wall,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-2835-54-54.html,"READING LIGHTS WALL LED 2.5W 3000K ANODISED ALUMINIUM 39LM","LedsC4 Wall 05-2835-54-54  Reading lights for indoor use.   For downlighting.. Timeless design. Optimum price-performance. Optimum visual comfort. Easy instalation. High durability for intensive use. Structure material: Aluminium. Structure finish: Anodised aluminium. Warranty: 3 Years.  Product net weight (Kg): 0.14 Product height (mm): 30 Product aperture (mm): Max 400 Min 180  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 1.2W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  7.2. Photobiological risk: RG2. Real flux (lm): 39. Nominal flux (lm): 94. Real lm/W: 16. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included. Total power: 2.5.",9405119090,Aluminium,"Anodised aluminium",,,30,"Max 400 Min 180","1xLED 1.2 94.00 lm",Yes,G,30,"Descatalogado EN",2011,"0,26","7,8","0,14","0,001","0,03",53,45,430,,,,,,,,,,,,,,,,"2,5","94,00",39,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2835-54-54,,,,,,https://files.ledsc4.com/imc/05-2835-54-54.html,https://files.ledsc4.com/el/05-2835-54-54.html,https://files.ledsc4.com/fm/05-2835-54-54.html,https://files.ledsc4.com/pl/05-2835-54-54.html,,https://files.ledsc4.com/3d/05-2835-54-54.html,https://files.ledsc4.com/ies/05-2835-54-54.html,https://files.ledsc4.com/ldt/05-2835-54-54.html,,,FX-LED-II,,,,
