Référence,Version,Prédéterminé,Type,EAN13,Famille,Catalogue,"Tarif national",Garantie,"Étiquette V/F","Fiche technique",Description,masterfile.tender_text,masterfile.codi_duaner,Matériel,Fini,grand,Largeur,Hauteur,Projection,"Source de lumière","Inclure une ampoule","Efficacité énergétique","Unités masterbox","Produit déclassé","Lancement de produit","Poids emballé (kg)","Weight master box","Poids net (kg)","Unité de volume (m3)","Volume Master box (m3)","Length Box 1","Largeur de la boîte 1","Boîte de hauteur 1","Length Box 2","Largeur de la boîte 2","Boîte de hauteur 2","Length Box 3","Largeur de la boîte 3","Boîte de hauteur 3","Length MB 1","Largeur MB 1","Hauteur MB 1","Length MB 2","Largeur MB 2","Hauteur MB 2","Length MB 3","Largeur MB 3","Hauteur MB 3","Watts (W)","Lumens (lm)","Real Lumens (lm)","Température de couleur LED (K)",CRI,"Faisceau de lumière (°)","Réglementation de type",IP,IK,"Image Web","Image d'environnement 1","Image d'environnement 2","Image d'environnement 3","Image de détail 1","Image de détail 2",IMC,EE,Photométrie,masterfile.ploma_comercial,Accessoires,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Código RETILAP","Maroc Code","Pays Code 4","Pays Code 5","Pays Code 6",Modèle
05-6396-21-M1,V0,Oui,"Salle de bains",8435381496531,"Toilet Slim 632mm",Decorative,"235,45",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-6396-21-M1.html,"SALLE DE BAINS IP44 TOILET SLIM 632MM LED 25W 3000K ON-OFF CHROME 1777LM","LedsC4 Toilet Slim 632mm 05-6396-21-M1  Salle de bains à usage intérieur pour éclairer frontalement.   Design de C. Santolaria et Alex &amp; Manel Lluscà. Design intemporel. Sans vis apparentes. Haute puissance lumineuse. Protection IP idéale salles de bains. IRC élevé. Durabilité élevée pour usage intensif. Matière de la structure: Aluminium. Finition structure: Chrome. Matière du diffuseur: Polycarbonate. Finition diffuseur: Opale. Garantie: 5 Ans.  Poids net du produit (kg): 1.1  Classe 2. IP: IP44. LED. Nombre de douilles ou LED: 1. Marque de la LED: SAMSUNG. Puissance maximale de la source lumineuse: 22W. Température de couleur: 3000K. Indice de rendu des couleurs: 92. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 18.4. Risque photobiologique: RG1. Flux réel (lm): 1777. Lm/W réels: 71. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Puissance totale: 25. Facteur de puissance: 0.90. Appareillage réglable fourni: ON-OFF.",9405119090,"Aluminium, Polycarbonate","Chrome, Opale",,,,,,Oui,F,4,"Discontinuo FR",2018,"1,56","6,24","1,1","0,012","0,048",700,125,125,,,,,,,260,260,730,,,,,,,25,,1777,3000K,92,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/2/05-6396-21-M1,,,,https://files.ledsc4.com/imc/05-6396-21-M1.html,https://files.ledsc4.com/el/05-6396-21-M1.html,https://files.ledsc4.com/fm/05-6396-21-M1.html,https://files.ledsc4.com/pl/05-6396-21-M1.html,,https://files.ledsc4.com/3d/05-6396-21-M1.html,https://files.ledsc4.com/ies/05-6396-21-M1.html,https://files.ledsc4.com/ldt/05-6396-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 632mm"
05-6398-21-M1,V0,Oui,"Salle de bains",8435381496555,"Toilet Slim 1232mm",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-6398-21-M1.html,"SALLE DE BAINS IP44 TOILET SLIM 1232MM LED 43.6W 3000K ON-OFF CHROME 3472LM","LedsC4 Toilet Slim 1232mm 05-6398-21-M1  Salle de bains à usage intérieur pour éclairer frontalement.   Design de C. Santolaria et Alex &amp; Manel Lluscà. Design intemporel. Sans vis apparentes. Haute puissance lumineuse. Protection IP idéale salles de bains. IRC élevé. Durabilité élevée pour usage intensif. Matière de la structure: Aluminium. Finition structure: Chrome. Matière du diffuseur: Polycarbonate. Finition diffuseur: Opale. Garantie: 2 Ans.  Poids net du produit (kg): 2.19  Classe 2. IP: IP44. LED. Nombre de douilles ou LED: 1. Marque de la LED: SAMSUNG. Puissance maximale de la source lumineuse: 37.6W. Température de couleur: 3000K. Indice de rendu des couleurs: 92. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 18.5. Risque photobiologique: RG1. Flux réel (lm): 3472. Lm/W réels: 80. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Puissance totale: 43.6. Facteur de puissance: 0.90. Appareillage réglable fourni: ON-OFF.",9405119090,"Aluminium, Polycarbonate","Chrome, Opale",,,,,,Oui,F,4,"Descatalogado FR",2018,"3,2","12,8","2,19","0,023","0,092",1300,125,120,,,,,,,260,265,1340,,,,,,,"43,6",,3472,3000K,92,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/05-6398-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6398-21-M1,,,,,https://files.ledsc4.com/imc/05-6398-21-M1.html,https://files.ledsc4.com/el/05-6398-21-M1.html,https://files.ledsc4.com/fm/05-6398-21-M1.html,https://files.ledsc4.com/pl/05-6398-21-M1.html,,https://files.ledsc4.com/3d/05-6398-21-M1.html,https://files.ledsc4.com/ies/05-6398-21-M1.html,https://files.ledsc4.com/ldt/05-6398-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 1232mm"
81-9914-Z5-Z5,V0,Oui,Réverbère,8435381495930,"Lyon Outdoor Structure 1810mm",Outdoor,"327,45",5,,https://files.ledsc4.com/ft2/fr/81-9914-Z5-Z5.html,"MÂT LYON DE 1810 MM DE HAUT EN FINITION GRIS FONCÉ ET TÊTE NON FOURNIE","LedsC4 Lyon Outdoor Structure 1810mm 81-9914-Z5-Z5  Réverbère à usage extérieur pour éclairer les deux côtés.  Matière de la structure: Aluminium. Finition structure: Gris urbain. Matière du diffuseur: Polycarbonate. Finition diffuseur: Transparent. Protection contre les rayons ultraviolets. Garantie: 5 Ans.  Poids net du produit (kg): 4.47 Largeur ou diamètre du produit (mm): 216 Hauteur du produit (mm): 1810  Appareillage fourni: No.",7326909890,"Aluminium, Polycarbonate","Gris urbain, Transparent",,216,1810,,,Non,"NA EPREL",1,"Discontinuo FR",2018,"5,77","5,77","4,47","0,103","0,103",1860,230,240,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/81-9914-Z5-Z5,https://files.ledsc4.com/ambience-photo/1/81-9914-Z5-Z5,,,,,https://files.ledsc4.com/imc/81-9914-Z5-Z5.html,,,https://files.ledsc4.com/pl/81-9914-Z5-Z5.html,https://files.ledsc4.com/ft3/fr/81-9914-Z5-Z5.html,https://files.ledsc4.com/3d/81-9914-Z5-Z5.html,,,,,NA-Accessory,,,,"Lyon Lampost Base 1810mm"
15-6429-21-F9,V0,Non,"Salle de bains",8435381497392,Circle,Decorative,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/fr/15-6429-21-F9.html,"SALLE DE BAINS IP44 CIRCLE LED 24.6W 3000K ON-OFF CHROME 1382LM","LedsC4 Circle 15-6429-21-F9  Salle de bains à usage intérieur pour éclairer vers le bas.   Design de G. Bernal. Design intemporel. Extra fin. Sans vis apparentes. Haut rendement W/lm réels. Prix-rendement optimal. Protection IP idéale salles de bains. Durabilité élevée pour usage intensif. Matière de la structure: Acier. Finition structure: Chrome. Matière du diffuseur: Verre. Finition diffuseur: Blanc. Garantie: 2 Ans.  Poids net du produit (kg): 1.32 Largeur ou diamètre du produit (mm): 274 Hauteur du produit (mm): 52  Classe 1. Essai au fil incandescent: 850. IP: IP44. LED. Nombre de douilles ou LED: 1. Marque de la LED: EDISON. Puissance maximale de la source lumineuse: 24.6W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 18.3. Risque photobiologique: RG0. Flux réel (lm): 1382. Lm/W réels: 56. Plage de tension/fréquence: 220-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Puissance totale: 24.6. Appareillage réglable fourni: ON-OFF.",9405115000,"Acier, Verre","Chrome, Blanc",,274,52,,,Oui,E,6,"Descatalogado FR",2018,"1,81","10,86","1,32","0,018","0,108",336,140,336,,,,,,,690,445,350,,,,,,,"24,6",,1382,3000K,80,HORIZONTAL,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/1/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/2/15-6429-21-F9,,,,https://files.ledsc4.com/imc/15-6429-21-F9.html,https://files.ledsc4.com/el/15-6429-21-F9.html,https://files.ledsc4.com/fm/15-6429-21-F9.html,https://files.ledsc4.com/pl/15-6429-21-F9.html,,https://files.ledsc4.com/3d/15-6429-21-F9.html,https://files.ledsc4.com/ies/15-6429-21-F9.html,https://files.ledsc4.com/ldt/15-6429-21-F9.html,,,FX-LED-I,,,,
PX-1801-BLA,V0,Oui,"Applique de plafond",8435381472856,"Ford Round",Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/PX-1801-BLA.html,"APPLIQUE DE PLAFOND IP65 FORD ROUND E27 15W BLANC","LedsC4 Ford Round PX-1801-BLA  Applique de plafond à usage extérieur pour éclairer frontalement.   Résiste à l&#039;eau sous pression. Résiste aux chocs IK10. Matière de la structure: Polycarbonate + ABS. Finition structure: Blanc. Matière du diffuseur: Polycarbonate. Finition diffuseur: Opale. Garantie: 5 Ans.  Poids net du produit (kg): 0.95 Largeur ou diamètre du produit (mm): 300 Sortie du produit (mm): 100  Classe 2. IP: IP65. IK: IK10. Puissance totale: 30.",9405194090,"Polycarbonate + ABS, Polycarbonate","Blanc, Opale",,300,,100,,Non,"NA EPREL",6,"Discontinuo FR",2018,"1,24","7,44","0,95","0,011","0,066",305,100,300,,,,,,,615,330,315,,,,,,,30,,,,,112º,,IP65,IK10,https://files.ledsc4.com/main-photo/PX-1801-BLA,https://files.ledsc4.com/ambience-photo/1/PX-1801-BLA,,,https://files.ledsc4.com/detail-photo/1/PX-1801-BLA,https://files.ledsc4.com/detail-photo/2/PX-1801-BLA,https://files.ledsc4.com/imc/PX-1801-BLA.html,,https://files.ledsc4.com/fm/PX-1801-BLA.html,https://files.ledsc4.com/pl/PX-1801-BLA.html,,,https://files.ledsc4.com/ies/PX-1801-BLA.html,https://files.ledsc4.com/ldt/PX-1801-BLA.html,,RETILAP-DECORATIVE,FX-INC-II,,,,
05-6424-14-14,V0,Non,"Lumière de lecture",8435381499259,"Gamma USB",Decorative,"134,7",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-6424-14-14.html,"LUMIÈRE DE LECTURE GAMMA USB LED 4.5W 2700K BLANC 137LM","LedsC4 Gamma USB 05-6424-14-14  Lumière de lecture à usage intérieur pour éclairer frontalement et vers le bas.   Design de J. Patsi. Design contemporain. Très polyvalent. Nombreuses installations. Très personnalisable : accessoires, finitions… Finitions de grande qualité. Prix-rendement optimal. Confort visuel optimal. Connectivité. Collection complète avec produits complémentaires. Durabilité élevée pour usage intensif. Le module optique peut facilement tourner 360º. Matière de la structure: Aluminium. Finition structure: Blanc. Garantie: 5 Ans.  Poids net du produit (kg): 0.57 Largeur ou diamètre du produit (mm): 110 Hauteur du produit (mm): 165 Sortie du produit (mm): 72 Épaisseur de plafond admise: 3-30  Classe 1. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Puissance maximale de la source lumineuse: 2.2W. Température de couleur: 2700K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  13.9. Risque photobiologique: RG2. Flux réel (lm): 137. Flux nominal (lm): 175. Lm/W réels: 30. Tension: 3. Appareillage fourni: Oui. Puissance totale: 4.5. Facteur de puissance: 0.44.",9405119090,Aluminium,Blanc,,110,165,72,"1xLED 2.2 175 lm",Oui,G,8,"Discontinuo FR",2018,"0,83","6,64","0,57","0,005","0,04",160,120,220,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,,,,https://files.ledsc4.com/main-photo/05-6424-14-14,https://files.ledsc4.com/ambience-photo/1/05-6424-14-14,,,,,https://files.ledsc4.com/imc/05-6424-14-14.html,https://files.ledsc4.com/el/05-6424-14-14.html,https://files.ledsc4.com/fm/05-6424-14-14.html,https://files.ledsc4.com/pl/05-6424-14-14.html,,https://files.ledsc4.com/3d/05-6424-14-14.html,https://files.ledsc4.com/ies/05-6424-14-14.html,https://files.ledsc4.com/ldt/05-6424-14-14.html,,,FX-LED-I,,,,
05-6424-81-81,V0,Non,"Lumière de lecture",8435381499266,"Gamma USB",Decorative,"150,19",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-6424-81-81.html,"LUMIÈRE DE LECTURE GAMMA USB LED 4.5W 2700K ON-OFF NICKEL SATINÉ 137LM","LedsC4 Gamma USB 05-6424-81-81  Lumière de lecture à usage intérieur pour éclairer frontalement et vers le bas.   Design de J. Patsi. Design contemporain. Très polyvalent. Nombreuses installations. Très personnalisable : accessoires, finitions… Finitions de grande qualité. Prix-rendement optimal. Confort visuel optimal. Connectivité. Collection complète avec produits complémentaires. Durabilité élevée pour usage intensif. Le module optique peut facilement tourner 360º. Matière de la structure: Aluminium. Finition structure: Nickel satiné. Garantie: 5 Ans.  Poids net du produit (kg): 0.57 Largeur ou diamètre du produit (mm): 110 Hauteur du produit (mm): 165 Sortie du produit (mm): 72 Épaisseur de plafond admise: 3-30  Classe 1. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Puissance maximale de la source lumineuse: 2.2W. Température de couleur: 2700K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  13.9. Risque photobiologique: RG2. Flux réel (lm): 137. Flux nominal (lm): 175. Lm/W réels: 30. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Puissance totale: 4.5. Facteur de puissance: 0.40. Appareillage réglable fourni: ON-OFF.",9405119090,Aluminium,"Nickel satiné",,110,165,72,"1xLED 2.2 175 lm",Oui,G,8,"Discontinuo FR",2018,"0,83","6,64","0,57","0,005","0,04",160,120,215,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-6424-81-81,https://files.ledsc4.com/ambience-photo/1/05-6424-81-81,,,,,https://files.ledsc4.com/imc/05-6424-81-81.html,https://files.ledsc4.com/el/05-6424-81-81.html,https://files.ledsc4.com/fm/05-6424-81-81.html,https://files.ledsc4.com/pl/05-6424-81-81.html,,https://files.ledsc4.com/3d/05-6424-81-81.html,https://files.ledsc4.com/ies/05-6424-81-81.html,https://files.ledsc4.com/ldt/05-6424-81-81.html,,,FX-LED-I,,,,
00-2726-AQ-78,V0,Non,Suspension,8435111062821,"Umbrella Ø1000",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/00-2726-AQ-78.html,"SUSPENSION UMBRELLA Ø1000 E27 45W ARGENT 1500LM","LedsC4 Umbrella Ø1000 00-2726-AQ-78  Suspension à usage intérieur pour éclairer vers le bas.  Matière de la structure: Acier, PMMA. Finition structure: Argent. Matière du diffuseur: Verre, Textile. Finition diffuseur: Nuancé, Argent. Garantie: 3 Ans.  Poids net du produit (kg): 10 Largeur ou diamètre du produit (mm): 1000 Hauteur du produit (mm): 3000  Classe 1. IP: IP20. Puissance totale: 45.",9405194090,"Acier, PMMA, Verre, Textile","Argent, Nuancé, Argent",,1000,3000,,,Non,"NA EPREL",1,"Descatalogado FR",2014,"20,4","20,4",10,"0,996","0,996",1130,1130,780,,,,,,,,,,,,,,,,45,,1500,,,HORIZONTAL,,IP20,,https://files.ledsc4.com/main-photo/00-2726-AQ-78,https://files.ledsc4.com/ambience-photo/1/00-2726-AQ-78,,,,,https://files.ledsc4.com/imc/00-2726-AQ-78.html,,https://files.ledsc4.com/fm/00-2726-AQ-78.html,https://files.ledsc4.com/pl/00-2726-AQ-78.html,,https://files.ledsc4.com/3d/00-2726-AQ-78.html,https://files.ledsc4.com/ies/00-2726-AQ-78.html,,,,FX-INC-I,,,,"Umbrella Ø1000"
05-2830-34-34,V0,Non,"Lumière de lecture",8435381454012,"Bed Round",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-2830-34-34.html,"LUMIÈRE DE LECTURE BED ROUND LED 4.3W 3000K GRIS 65LM","LedsC4 Bed Round 05-2830-34-34  Lumière de lecture à usage intérieur pour éclairer vers le bas.   Prix-rendement optimal. Confort visuel optimal. Installation facile. Durabilité élevée pour usage intensif. Matière de la structure: Aluminium. Finition structure: Gris. Garantie: 2 Ans.  Poids net du produit (kg): 0.5 Largeur ou diamètre du produit (mm): 50 Hauteur du produit (mm): 530 Sortie du produit (mm): Min 24 Max 425 Ø de l&#039;orifice pour l&#039;encastrement (mm): 11 Épaisseur de plafond admise: 3-25  Classe 2. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Marque du Driver: HEP. Puissance maximale de la source lumineuse: 3W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  11.2. Risque photobiologique: RG2. Flux réel (lm): 65. Flux nominal (lm): 162. Lm/W réels: 15. Plage de tension/fréquence: 100-240. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 4.3. Facteur de puissance: 0.50.",9405119090,Aluminium,Gris,,50,530,"Min 24 Max 425","1xLED 3 162 lm",Oui,,20,"Descatalogado FR",2011,"0,66","13,2","0,5","0,004","0,08",80,60,575,,,,,,,,,,,,,,,,"4,3",162,65,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2830-34-34,,,,,,https://files.ledsc4.com/imc/05-2830-34-34.html,,https://files.ledsc4.com/fm/05-2830-34-34.html,https://files.ledsc4.com/pl/05-2830-34-34.html,,https://files.ledsc4.com/3d/05-2830-34-34.html,https://files.ledsc4.com/ies/05-2830-34-34.html,https://files.ledsc4.com/ldt/05-2830-34-34.html,,,FX-LED-II,,,,"Bed Round"
05-2835-54-54,V0,Non,"Lumière de lecture",8435381454029,Wall,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-2835-54-54.html,"LUMIÈRE DE LECTURE WALL LED 2.5W 3000K ALUMINIUM ANODISÉ 39LM","LedsC4 Wall 05-2835-54-54  Lumière de lecture à usage intérieur pour éclairer vers le bas.   Design intemporel. Prix-rendement optimal. Confort visuel optimal. Installation facile. Durabilité élevée pour usage intensif. Matière de la structure: Aluminium. Finition structure: Aluminium anodisé. Garantie: 3 Ans.  Poids net du produit (kg): 0.14 Hauteur du produit (mm): 30 Sortie du produit (mm): Max 400 Min 180  Classe 2. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Puissance maximale de la source lumineuse: 1.2W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  7.2. Risque photobiologique: RG2. Flux réel (lm): 39. Flux nominal (lm): 94. Lm/W réels: 16. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 2.5.",9405119090,Aluminium,"Aluminium anodisé",,,30,"Max 400 Min 180","1xLED 1.2 94.00 lm",Oui,G,30,"Descatalogado FR",2011,"0,26","7,8","0,14","0,001","0,03",53,45,430,,,,,,,,,,,,,,,,"2,5","94,00",39,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2835-54-54,,,,,,https://files.ledsc4.com/imc/05-2835-54-54.html,https://files.ledsc4.com/el/05-2835-54-54.html,https://files.ledsc4.com/fm/05-2835-54-54.html,https://files.ledsc4.com/pl/05-2835-54-54.html,,https://files.ledsc4.com/3d/05-2835-54-54.html,https://files.ledsc4.com/ies/05-2835-54-54.html,https://files.ledsc4.com/ldt/05-2835-54-54.html,,,FX-LED-II,,,,
