Riferimento,Versione,Predeterminato,Tipo,EAN13,Famiglia,Catalogo,"Tariffa Nazionale",Garanzia,"Etichetta V/F","Foglio dati",Descrizione,masterfile.tender_text,masterfile.codi_duaner,Materiale,Finit,Lungo,Ampiezza,Altezza,Proiezione,"Fonte di luce","Includi una lampadina","Efficienza energetica","Unità masterbox","Prodotto fuori catalogo","Lancio del prodotto","Pesce confezionato (kg)","Weight master box","Peso netto (Kg)","Unità di volume (m3)","Volume Master box (m3)","Length Box 1","Larghezza della scatola 1","Altezza scatola 1","Length Box 2","Larghezza della scatola 2","Altezza scatola 2","Length Box 3","Larghezza della scatola 3","Altezza scatola 3","Length MB 1","Ampiezza MB 1","Altezza MB 1","Length MB 2","Ampiezza MB 2","Altezza MB 2","Length MB 3","Ampiezza MB 3","Altezza MB 3","Watt (W)","Lumen (lm)","Real Lumens (lm)","Temperatura colore LED (K)",CRI,"Fascio di luce","Regolazione dei tipi",IP,IK,"Immagine Web","Immagine d'ambiente 1","Immagine d'ambiente 2","Immagine d'ambiente 3","Immagine di dettaglio 1","Immagine di dettaglio 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Accessori,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Codi RETILAP","Marocco Codice","Codice Paese 4","Codice Paese 5","Codice Paese 6",Modello
05-6396-21-M1,V0,Sì,Bagno,8435381496531,"Toilet Slim 632mm",Decorative,"235,45",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-6396-21-M1.html,"BAGNO IP44 TOILET SLIM 632MM LED 25W 3000K ON-OFF CROMO 1777LM","LedsC4 Toilet Slim 632mm 05-6396-21-M1  Bagno per uso interno per illuminare frontalmente.   Design by C. Santolaria y Alex &amp; Manel Lluscà. Design senza tempo. Nessuna vite in vista. Alta potenza illuminotecnica. Protezione IP, ideale bagno. Alto CRI. Alta durabilità per uso intensivo. Materiale della struttura: Alluminio. Finitura struttura: Cromo. Materiale del diffusore: Policarbonato. Finitura diffusore: Opal. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 1.1  Classe 2. IP: IP44. LED. Nº di portalampada o Leds: 1. Marchio del LED: SAMSUNG. Potenza massima della sorgente luminosa: 22W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 18.4. Rischio fotobiologico: RG1. Flusso reale (lm): 1777. Lm/W reali: 71. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 25. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Cromo, Opal",,,,,,Sì,F,4,"Discontinuo IT",2018,"1,56","6,24","1,1","0,012","0,048",700,125,125,,,,,,,260,260,730,,,,,,,25,,1777,3000K,92,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/2/05-6396-21-M1,,,,https://files.ledsc4.com/imc/05-6396-21-M1.html,https://files.ledsc4.com/el/05-6396-21-M1.html,https://files.ledsc4.com/fm/05-6396-21-M1.html,https://files.ledsc4.com/pl/05-6396-21-M1.html,,https://files.ledsc4.com/3d/05-6396-21-M1.html,https://files.ledsc4.com/ies/05-6396-21-M1.html,https://files.ledsc4.com/ldt/05-6396-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 632mm"
05-6398-21-M1,V0,Sì,Bagno,8435381496555,"Toilet Slim 1232mm",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-6398-21-M1.html,"BAGNO IP44 TOILET SLIM 1232MM LED 43.6W 3000K ON-OFF CROMO 3472LM","LedsC4 Toilet Slim 1232mm 05-6398-21-M1  Bagno per uso interno per illuminare frontalmente.   Design by C. Santolaria y Alex &amp; Manel Lluscà. Design senza tempo. Nessuna vite in vista. Alta potenza illuminotecnica. Protezione IP, ideale bagno. Alto CRI. Alta durabilità per uso intensivo. Materiale della struttura: Alluminio. Finitura struttura: Cromo. Materiale del diffusore: Policarbonato. Finitura diffusore: Opal. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 2.19  Classe 2. IP: IP44. LED. Nº di portalampada o Leds: 1. Marchio del LED: SAMSUNG. Potenza massima della sorgente luminosa: 37.6W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 18.5. Rischio fotobiologico: RG1. Flusso reale (lm): 3472. Lm/W reali: 80. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 43.6. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Cromo, Opal",,,,,,Sì,F,4,"Descatalogado IT",2018,"3,2","12,8","2,19","0,023","0,092",1300,125,120,,,,,,,260,265,1340,,,,,,,"43,6",,3472,3000K,92,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/05-6398-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6398-21-M1,,,,,https://files.ledsc4.com/imc/05-6398-21-M1.html,https://files.ledsc4.com/el/05-6398-21-M1.html,https://files.ledsc4.com/fm/05-6398-21-M1.html,https://files.ledsc4.com/pl/05-6398-21-M1.html,,https://files.ledsc4.com/3d/05-6398-21-M1.html,https://files.ledsc4.com/ies/05-6398-21-M1.html,https://files.ledsc4.com/ldt/05-6398-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 1232mm"
81-9914-Z5-Z5,V0,Sì,Lampioni,8435381495930,"Lyon Outdoor Structure 1810mm",Outdoor,"327,45",5,,https://files.ledsc4.com/ft2/it/81-9914-Z5-Z5.html,"COLONNA LYON DI 1810 MM DI ALTEZZA, CON FINITURA GRIGIO SCURO E TESTA NON INCLUS","LedsC4 Lyon Outdoor Structure 1810mm 81-9914-Z5-Z5  Lampioni per uso esterno per illuminare ai due lati.  Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Policarbonato. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 4.47 Larghezza o diametro del prodotto (mm): 216 Altezza del prodotto (mm): 1810  Dispositivo incluso: No.",7326909890,"Alluminio, Policarbonato","Grigio urbano, Trasparente",,216,1810,,,No,"NA EPREL",1,"Discontinuo IT",2018,"5,77","5,77","4,47","0,103","0,103",1860,230,240,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/81-9914-Z5-Z5,https://files.ledsc4.com/ambience-photo/1/81-9914-Z5-Z5,,,,,https://files.ledsc4.com/imc/81-9914-Z5-Z5.html,,,https://files.ledsc4.com/pl/81-9914-Z5-Z5.html,https://files.ledsc4.com/ft3/it/81-9914-Z5-Z5.html,https://files.ledsc4.com/3d/81-9914-Z5-Z5.html,,,,,NA-Accessory,,,,"Lyon Lampost Base 1810mm"
15-6429-21-F9,V0,No,Bagno,8435381497392,Circle,Decorative,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/15-6429-21-F9.html,"BAGNO IP44 CIRCLE LED 24.6W 3000K ON-OFF CROMO 1382LM","LedsC4 Circle 15-6429-21-F9  Bagno per uso interno per illuminare verso il basso.   Design by G. Bernal. Design senza tempo. Estremamente sottile. Nessuna vite in vista. Alto rendimento W/lm reali. Ottimo rapporto qualità-prezzo. Protezione IP, ideale bagno. Alta durabilità per uso intensivo. Materiale della struttura: Acciaio. Finitura struttura: Cromo. Materiale del diffusore: Vetro. Finitura diffusore: Bianco. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 1.32 Larghezza o diametro del prodotto (mm): 274 Altezza del prodotto (mm): 52  Classe 1. Prova filo incandescente: 850. IP: IP44. LED. Nº di portalampada o Leds: 1. Marchio del LED: EDISON. Potenza massima della sorgente luminosa: 24.6W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 18.3. Rischio fotobiologico: RG0. Flusso reale (lm): 1382. Lm/W reali: 56. Intervallo di tensione / frequenza: 220-240/50-60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 24.6. Dispositivo regolabile incluso: ON-OFF.",9405115000,"Acciaio, Vetro","Cromo, Bianco",,274,52,,,Sì,E,6,"Descatalogado IT",2018,"1,81","10,86","1,32","0,018","0,108",336,140,336,,,,,,,690,445,350,,,,,,,"24,6",,1382,3000K,80,HORIZONTAL,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/1/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/2/15-6429-21-F9,,,,https://files.ledsc4.com/imc/15-6429-21-F9.html,https://files.ledsc4.com/el/15-6429-21-F9.html,https://files.ledsc4.com/fm/15-6429-21-F9.html,https://files.ledsc4.com/pl/15-6429-21-F9.html,,https://files.ledsc4.com/3d/15-6429-21-F9.html,https://files.ledsc4.com/ies/15-6429-21-F9.html,https://files.ledsc4.com/ldt/15-6429-21-F9.html,,,FX-LED-I,,,,
PX-1801-BLA,V0,Sì,"Superficie a soffitto",8435381472856,"Ford Round",Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/PX-1801-BLA.html,"SUPERFICIE A SOFFITTO IP65 FORD ROUND E27 15W BIANCO","LedsC4 Ford Round PX-1801-BLA  Superficie a soffitto per uso esterno per illuminare frontalmente.   Resistente all&#039;acqua a pressione. Resistente agli impatti IK10. Materiale della struttura: Policarbonato + ABS. Finitura struttura: Bianco. Materiale del diffusore: Policarbonato. Finitura diffusore: Opal. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.95 Larghezza o diametro del prodotto (mm): 300 Fuoriuscita del prodotto: 100  Classe 2. IP: IP65. IK: IK10. Potenza totale: 30.",9405194090,"Policarbonato + ABS, Policarbonato","Bianco, Opal",,300,,100,,No,"NA EPREL",6,"Discontinuo IT",2018,"1,24","7,44","0,95","0,011","0,066",305,100,300,,,,,,,615,330,315,,,,,,,30,,,,,112º,,IP65,IK10,https://files.ledsc4.com/main-photo/PX-1801-BLA,https://files.ledsc4.com/ambience-photo/1/PX-1801-BLA,,,https://files.ledsc4.com/detail-photo/1/PX-1801-BLA,https://files.ledsc4.com/detail-photo/2/PX-1801-BLA,https://files.ledsc4.com/imc/PX-1801-BLA.html,,https://files.ledsc4.com/fm/PX-1801-BLA.html,https://files.ledsc4.com/pl/PX-1801-BLA.html,,,https://files.ledsc4.com/ies/PX-1801-BLA.html,https://files.ledsc4.com/ldt/PX-1801-BLA.html,,RETILAP-DECORATIVE,FX-INC-II,,,,
05-6424-14-14,V0,No,"Lampada da lettura",8435381499259,"Gamma USB",Decorative,"134,7",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-6424-14-14.html,"LAMPADA DA LETTURA GAMMA USB LED 4.5W 2700K BIANCO 137LM","LedsC4 Gamma USB 05-6424-14-14  Lampada da lettura per uso interno per illuminare frontalmente e verso il basso.   Design by J. Patsi. Design contemporaneo. Molto versatile. Molteplici installazioni. Molto personalizzabile: accessori, finiture… Finiture in bagno, di alta qualità. Ottimo rapporto qualità-prezzo. Ottimo comfort visivo. Connettività. Collezione completa di prodotti complementari. Alta durabilità per uso intensivo. Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Alluminio. Finitura struttura: Bianco. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.57 Larghezza o diametro del prodotto (mm): 110 Altezza del prodotto (mm): 165 Fuoriuscita del prodotto: 72 Spessore del soffitto ammesso: 3-30  Classe 1. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 2.2W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR:  13.9. Rischio fotobiologico: RG2. Flusso reale (lm): 137. Flusso nominale (lm): 175. Lm/W reali: 30. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 4.5. Fattore di potenza: 0.44.",9405119090,Alluminio,Bianco,,110,165,72,"1xLED 2.2 175 lm",Sì,G,8,"Discontinuo IT",2018,"0,83","6,64","0,57","0,005","0,04",160,120,220,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,,,,https://files.ledsc4.com/main-photo/05-6424-14-14,https://files.ledsc4.com/ambience-photo/1/05-6424-14-14,,,,,https://files.ledsc4.com/imc/05-6424-14-14.html,https://files.ledsc4.com/el/05-6424-14-14.html,https://files.ledsc4.com/fm/05-6424-14-14.html,https://files.ledsc4.com/pl/05-6424-14-14.html,,https://files.ledsc4.com/3d/05-6424-14-14.html,https://files.ledsc4.com/ies/05-6424-14-14.html,https://files.ledsc4.com/ldt/05-6424-14-14.html,,,FX-LED-I,,,,
05-6424-81-81,V0,No,"Lampada da lettura",8435381499266,"Gamma USB",Decorative,"150,19",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-6424-81-81.html,"LAMPADA DA LETTURA GAMMA USB LED 4.5W 2700K ON-OFF NICHEL SATINATO 137LM","LedsC4 Gamma USB 05-6424-81-81  Lampada da lettura per uso interno per illuminare frontalmente e verso il basso.   Design by J. Patsi. Design contemporaneo. Molto versatile. Molteplici installazioni. Molto personalizzabile: accessori, finiture… Finiture in bagno, di alta qualità. Ottimo rapporto qualità-prezzo. Ottimo comfort visivo. Connettività. Collezione completa di prodotti complementari. Alta durabilità per uso intensivo. Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Alluminio. Finitura struttura: Nichel satinato. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.57 Larghezza o diametro del prodotto (mm): 110 Altezza del prodotto (mm): 165 Fuoriuscita del prodotto: 72 Spessore del soffitto ammesso: 3-30  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 2.2W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR:  13.9. Rischio fotobiologico: RG2. Flusso reale (lm): 137. Flusso nominale (lm): 175. Lm/W reali: 30. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 4.5. Fattore di potenza: 0.40. Dispositivo regolabile incluso: ON-OFF.",9405119090,Alluminio,"Nichel satinato",,110,165,72,"1xLED 2.2 175 lm",Sì,G,8,"Discontinuo IT",2018,"0,83","6,64","0,57","0,005","0,04",160,120,215,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-6424-81-81,https://files.ledsc4.com/ambience-photo/1/05-6424-81-81,,,,,https://files.ledsc4.com/imc/05-6424-81-81.html,https://files.ledsc4.com/el/05-6424-81-81.html,https://files.ledsc4.com/fm/05-6424-81-81.html,https://files.ledsc4.com/pl/05-6424-81-81.html,,https://files.ledsc4.com/3d/05-6424-81-81.html,https://files.ledsc4.com/ies/05-6424-81-81.html,https://files.ledsc4.com/ldt/05-6424-81-81.html,,,FX-LED-I,,,,
00-2726-AQ-78,V0,No,Sospensioni,8435111062821,"Umbrella Ø1000",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/00-2726-AQ-78.html,"SOSPENSIONI UMBRELLA Ø1000 E27 45W ARGENTO 1500LM","LedsC4 Umbrella Ø1000 00-2726-AQ-78  Sospensioni per uso interno per illuminare verso il basso.  Materiale della struttura: Acciaio, PMMA. Finitura struttura: Argento. Materiale del diffusore: Vetro, Tessile. Finitura diffusore: Sfumato, Argento. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 10 Larghezza o diametro del prodotto (mm): 1000 Altezza del prodotto (mm): 3000  Classe 1. IP: IP20. Potenza totale: 45.",9405194090,"Acciaio, PMMA, Vetro, Tessile","Argento, Sfumato, Argento",,1000,3000,,,No,"NA EPREL",1,"Descatalogado IT",2014,"20,4","20,4",10,"0,996","0,996",1130,1130,780,,,,,,,,,,,,,,,,45,,1500,,,HORIZONTAL,,IP20,,https://files.ledsc4.com/main-photo/00-2726-AQ-78,https://files.ledsc4.com/ambience-photo/1/00-2726-AQ-78,,,,,https://files.ledsc4.com/imc/00-2726-AQ-78.html,,https://files.ledsc4.com/fm/00-2726-AQ-78.html,https://files.ledsc4.com/pl/00-2726-AQ-78.html,,https://files.ledsc4.com/3d/00-2726-AQ-78.html,https://files.ledsc4.com/ies/00-2726-AQ-78.html,,,,FX-INC-I,,,,"Umbrella Ø1000"
05-2830-34-34,V0,No,"Lampada da lettura",8435381454012,"Bed Round",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-2830-34-34.html,"LAMPADA DA LETTURA BED ROUND LED 4.3W 3000K GRIGIO 65LM","LedsC4 Bed Round 05-2830-34-34  Lampada da lettura per uso interno per illuminare verso il basso.   Ottimo rapporto qualità-prezzo. Ottimo comfort visivo. Facile installazione. Alta durabilità per uso intensivo. Materiale della struttura: Alluminio. Finitura struttura: Grigio. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.5 Larghezza o diametro del prodotto (mm): 50 Altezza del prodotto (mm): 530 Fuoriuscita del prodotto: Min 24 Max 425 Ø del foro per incasso (mm): 11 Spessore del soffitto ammesso: 3-25  Classe 2. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: HEP. Potenza massima della sorgente luminosa: 3W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR:  11.2. Rischio fotobiologico: RG2. Flusso reale (lm): 65. Flusso nominale (lm): 162. Lm/W reali: 15. Intervallo di tensione / frequenza: 100-240. Voltaggio: 3. Dispositivo incluso: Sì. Dispositivo multivoltaggio incluso. Potenza totale: 4.3. Fattore di potenza: 0.50.",9405119090,Alluminio,Grigio,,50,530,"Min 24 Max 425","1xLED 3 162 lm",Sì,,20,"Descatalogado IT",2011,"0,66","13,2","0,5","0,004","0,08",80,60,575,,,,,,,,,,,,,,,,"4,3",162,65,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2830-34-34,,,,,,https://files.ledsc4.com/imc/05-2830-34-34.html,,https://files.ledsc4.com/fm/05-2830-34-34.html,https://files.ledsc4.com/pl/05-2830-34-34.html,,https://files.ledsc4.com/3d/05-2830-34-34.html,https://files.ledsc4.com/ies/05-2830-34-34.html,https://files.ledsc4.com/ldt/05-2830-34-34.html,,,FX-LED-II,,,,"Bed Round"
05-2835-54-54,V0,No,"Lampada da lettura",8435381454029,Wall,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-2835-54-54.html,"LAMPADA DA LETTURA WALL LED 2.5W 3000K ALLUMINIO ANODIZZATO 39LM","LedsC4 Wall 05-2835-54-54  Lampada da lettura per uso interno per illuminare verso il basso.   Design senza tempo. Ottimo rapporto qualità-prezzo. Ottimo comfort visivo. Facile installazione. Alta durabilità per uso intensivo. Materiale della struttura: Alluminio. Finitura struttura: Alluminio anodizzato. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.14 Altezza del prodotto (mm): 30 Fuoriuscita del prodotto: Max 400 Min 180  Classe 2. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 1.2W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR:  7.2. Rischio fotobiologico: RG2. Flusso reale (lm): 39. Flusso nominale (lm): 94. Lm/W reali: 16. Voltaggio: 3. Dispositivo incluso: Sì. Dispositivo multivoltaggio incluso. Potenza totale: 2.5.",9405119090,Alluminio,"Alluminio anodizzato",,,30,"Max 400 Min 180","1xLED 1.2 94.00 lm",Sì,G,30,"Descatalogado IT",2011,"0,26","7,8","0,14","0,001","0,03",53,45,430,,,,,,,,,,,,,,,,"2,5","94,00",39,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2835-54-54,,,,,,https://files.ledsc4.com/imc/05-2835-54-54.html,https://files.ledsc4.com/el/05-2835-54-54.html,https://files.ledsc4.com/fm/05-2835-54-54.html,https://files.ledsc4.com/pl/05-2835-54-54.html,,https://files.ledsc4.com/3d/05-2835-54-54.html,https://files.ledsc4.com/ies/05-2835-54-54.html,https://files.ledsc4.com/ldt/05-2835-54-54.html,,,FX-LED-II,,,,
