Referência,Versão,Pré-determinado,Tipo,EAN13,Família,Catálogo,"Tarifa Nacional",Garantia,"Etiqueta V/F","Folha de Dados",Descrição,masterfile.tender_text,masterfile.codi_duaner,Material,Acabado,Largo,Amplitude,Altura,Projeção,"Fonte de Luz","Incluir lâmpada","Eficiência energética","Unidades Masterbox","Produto descatalogado","Lançamento de produto","Peso embalado (kg)","Weight master box","Peso líquido (kg)","Unidade de Volume (m3)","Volume Master box (m3)","Length Box 1","Largura da caixa 1","Altura da caixa 1","Length Box 2","Largura da caixa 2","Altura da caixa 2","Length Box 3","Largura da caixa 3","Altura da caixa 3","Length MB 1","Amplitude MB 1","Altura MB 1","Length MB 2","Amplitude MB 2","Altura MB 2","Length MB 3","Amplitude MB 3","Altura MB 3","Watts (W)","Lúmens (lm)","Real Lumens (lm)","Temperatura de cor do LED (K)",CRI,"Facho de Luz","Regulação de Tipo",IP,IK,"Imagem Web","Imagem de ambiente 1","Imagem de ambiente 2","Imagem de ambiente 3","Imagem de detalhe 1","Imagem de detalhe 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Acessórios,3D,masterfile.ies,masterfile.ldt,"Codi Quênia","Codi RETILAP","Codi Marrocos","Código do País 4","Código do País 5","Código do País 6",Modelo
05-6396-21-M1,V0,Sim,"Casa de banho",8435381496531,"Toilet Slim 632mm",Decorative,"235,45",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/05-6396-21-M1.html,"CASA DE BANHO IP44 TOILET SLIM 632MM LED 25W 3000K ON-OFF CROMADO 1777LM","LedsC4 Toilet Slim 632mm 05-6396-21-M1  Casa de banho de uso interior para iluminar para a frente.   Design by C. Santolaria y Alex &amp; Manel Lluscà. Design senza tempo. Sem parafusos à vista. Alta potência lumínica. Proteção IP ideal para casas de banho. Elevado IRC. Alta durabilidade para um uso intensivo. Material da estrutura: Alumínio. Acabamento estrutura: Cromado. Material do difusor: Policarbonato. Acabamento difusor: Opala. Garantia: 5 Anos.  Peso líquido do produto (kg): 1.1  Classe 2. IP: IP44. LED. N.º de casquilhos ou LED: 1. Marca do LED: SAMSUNG. Potência máxima da fonte de luz: 22W. Temperatura de cor: 3000K. Índice de reprodução cromática: 92. Steps Mac Adam: 3. Horas de vida útil: 50.000h L80B20. UGR: 18.4. Risco fotobiológico: RG1. Fluxo real (lm): 1777. Lm/W reais: 71. Intervalo de tensão / frequência: 100-240/50-60Hz. Tensão: 3. Equipamento incluído: Sim. Potência total: 25. Fator de potência: 0.90. Equipamento regulável incluído: ON-OFF.",9405119090,"Alumínio, Policarbonato","Cromado, Opala",,,,,,Sim,F,4,"Discontinuo PT",2018,"1,56","6,24","1,1","0,012","0,048",700,125,125,,,,,,,260,260,730,,,,,,,25,,1777,3000K,92,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6396-21-M1,https://files.ledsc4.com/ambience-photo/2/05-6396-21-M1,,,,https://files.ledsc4.com/imc/05-6396-21-M1.html,https://files.ledsc4.com/el/05-6396-21-M1.html,https://files.ledsc4.com/fm/05-6396-21-M1.html,https://files.ledsc4.com/pl/05-6396-21-M1.html,,https://files.ledsc4.com/3d/05-6396-21-M1.html,https://files.ledsc4.com/ies/05-6396-21-M1.html,https://files.ledsc4.com/ldt/05-6396-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 632mm"
05-6398-21-M1,V0,Sim,"Casa de banho",8435381496555,"Toilet Slim 1232mm",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/05-6398-21-M1.html,"CASA DE BANHO IP44 TOILET SLIM 1232MM LED 43.6W 3000K ON-OFF CROMADO 3472LM","LedsC4 Toilet Slim 1232mm 05-6398-21-M1  Casa de banho de uso interior para iluminar para a frente.   Design by C. Santolaria y Alex &amp; Manel Lluscà. Design senza tempo. Sem parafusos à vista. Alta potência lumínica. Proteção IP ideal para casas de banho. Elevado IRC. Alta durabilidade para um uso intensivo. Material da estrutura: Alumínio. Acabamento estrutura: Cromado. Material do difusor: Policarbonato. Acabamento difusor: Opala. Garantia: 2 Anos.  Peso líquido do produto (kg): 2.19  Classe 2. IP: IP44. LED. N.º de casquilhos ou LED: 1. Marca do LED: SAMSUNG. Potência máxima da fonte de luz: 37.6W. Temperatura de cor: 3000K. Índice de reprodução cromática: 92. Steps Mac Adam: 3. Horas de vida útil: 50.000h L80B20. UGR: 18.5. Risco fotobiológico: RG1. Fluxo real (lm): 3472. Lm/W reais: 80. Intervalo de tensão / frequência: 100-240/50-60Hz. Tensão: 3. Equipamento incluído: Sim. Potência total: 43.6. Fator de potência: 0.90. Equipamento regulável incluído: ON-OFF.",9405119090,"Alumínio, Policarbonato","Cromado, Opala",,,,,,Sim,F,4,"Descatalogado PT",2018,"3,2","12,8","2,19","0,023","0,092",1300,125,120,,,,,,,260,265,1340,,,,,,,"43,6",,3472,3000K,92,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/05-6398-21-M1,https://files.ledsc4.com/ambience-photo/1/05-6398-21-M1,,,,,https://files.ledsc4.com/imc/05-6398-21-M1.html,https://files.ledsc4.com/el/05-6398-21-M1.html,https://files.ledsc4.com/fm/05-6398-21-M1.html,https://files.ledsc4.com/pl/05-6398-21-M1.html,,https://files.ledsc4.com/3d/05-6398-21-M1.html,https://files.ledsc4.com/ies/05-6398-21-M1.html,https://files.ledsc4.com/ldt/05-6398-21-M1.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Toilet Slim 1232mm"
81-9914-Z5-Z5,V0,Sim,Poste,8435381495930,"Lyon Outdoor Structure 1810mm",Outdoor,"327,45",5,,https://files.ledsc4.com/ft2/pt/81-9914-Z5-Z5.html,"COLUNA LYON DE 1810 MM DE ALTURA COM ACABAMENTO CINZENTO ESCURO E CABEÇA NÃO I","LedsC4 Lyon Outdoor Structure 1810mm 81-9914-Z5-Z5  Poste de uso exterior para iluminar para ambos os lados.  Material da estrutura: Alumínio. Acabamento estrutura: Cinzento urbano. Material do difusor: Policarbonato. Acabamento difusor: Transparente. Proteção contra os raios ultravioleta. Garantia: 5 Anos.  Peso líquido do produto (kg): 4.47 Largura ou diâmetro do produto (mm): 216 Altura do produto (mm): 1810  Equipamento incluído: No.",7326909890,"Alumínio, Policarbonato","Cinzento urbano, Transparente",,216,1810,,,Não,"NA EPREL",1,"Discontinuo PT",2018,"5,77","5,77","4,47","0,103","0,103",1860,230,240,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/81-9914-Z5-Z5,https://files.ledsc4.com/ambience-photo/1/81-9914-Z5-Z5,,,,,https://files.ledsc4.com/imc/81-9914-Z5-Z5.html,,,https://files.ledsc4.com/pl/81-9914-Z5-Z5.html,https://files.ledsc4.com/ft3/pt/81-9914-Z5-Z5.html,https://files.ledsc4.com/3d/81-9914-Z5-Z5.html,,,,,NA-Accessory,,,,"Lyon Lampost Base 1810mm"
15-6429-21-F9,V0,Não,"Casa de banho",8435381497392,Circle,Decorative,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/pt/15-6429-21-F9.html,"CASA DE BANHO IP44 CIRCLE LED 24.6W 3000K ON-OFF CROMADO 1382LM","LedsC4 Circle 15-6429-21-F9  Casa de banho de uso interior para iluminar para baixo.   Design by G.Bernal. Design senza tempo. Super slim. Sem parafusos à vista. Alto rendimento W/lm reais. Ótima relação preço-rendimento. Proteção IP ideal para casas de banho. Alta durabilidade para um uso intensivo. Material da estrutura: Aço. Acabamento estrutura: Cromado. Material do difusor: Vidro. Acabamento difusor: Branco. Garantia: 2 Anos.  Peso líquido do produto (kg): 1.32 Largura ou diâmetro do produto (mm): 274 Altura do produto (mm): 52  Classe 1. Teste de fio incandescente: 850. IP: IP44. LED. N.º de casquilhos ou LED: 1. Marca do LED: EDISON. Potência máxima da fonte de luz: 24.6W. Temperatura de cor: 3000K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 50.000h L80B20. UGR: 18.3. Risco fotobiológico: RG0. Fluxo real (lm): 1382. Lm/W reais: 56. Intervalo de tensão / frequência: 220-240/50-60Hz. Tensão: 3. Equipamento incluído: Sim. Potência total: 24.6. Equipamento regulável incluído: ON-OFF.",9405115000,"Aço, Vidro","Cromado, Branco",,274,52,,,Sim,E,6,"Descatalogado PT",2018,"1,81","10,86","1,32","0,018","0,108",336,140,336,,,,,,,690,445,350,,,,,,,"24,6",,1382,3000K,80,HORIZONTAL,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/1/15-6429-21-F9,https://files.ledsc4.com/ambience-photo/2/15-6429-21-F9,,,,https://files.ledsc4.com/imc/15-6429-21-F9.html,https://files.ledsc4.com/el/15-6429-21-F9.html,https://files.ledsc4.com/fm/15-6429-21-F9.html,https://files.ledsc4.com/pl/15-6429-21-F9.html,,https://files.ledsc4.com/3d/15-6429-21-F9.html,https://files.ledsc4.com/ies/15-6429-21-F9.html,https://files.ledsc4.com/ldt/15-6429-21-F9.html,,,FX-LED-I,,,,
PX-1801-BLA,V0,Sim,"Superfície de Teto",8435381472856,"Ford Round",Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/PX-1801-BLA.html,"SUPERFÍCIE DE TETO IP65 FORD ROUND E27 15W BRANCO","LedsC4 Ford Round PX-1801-BLA  Superfície de Teto de uso exterior para iluminar para a frente.   Resistente à água sob pressão. Resistente aos impactos IK10. Material da estrutura: Policarbonato + ABS. Acabamento estrutura: Branco. Material do difusor: Policarbonato. Acabamento difusor: Opala. Garantia: 5 Anos.  Peso líquido do produto (kg): 0.95 Largura ou diâmetro do produto (mm): 300 Saída do produto (mm): 100  Classe 2. IP: IP65. IK: IK10. Potência total: 30.",9405194090,"Policarbonato + ABS, Policarbonato","Branco, Opala",,300,,100,,Não,"NA EPREL",6,"Discontinuo PT",2018,"1,24","7,44","0,95","0,011","0,066",305,100,300,,,,,,,615,330,315,,,,,,,30,,,,,112º,,IP65,IK10,https://files.ledsc4.com/main-photo/PX-1801-BLA,https://files.ledsc4.com/ambience-photo/1/PX-1801-BLA,,,https://files.ledsc4.com/detail-photo/1/PX-1801-BLA,https://files.ledsc4.com/detail-photo/2/PX-1801-BLA,https://files.ledsc4.com/imc/PX-1801-BLA.html,,https://files.ledsc4.com/fm/PX-1801-BLA.html,https://files.ledsc4.com/pl/PX-1801-BLA.html,,,https://files.ledsc4.com/ies/PX-1801-BLA.html,https://files.ledsc4.com/ldt/PX-1801-BLA.html,,RETILAP-DECORATIVE,FX-INC-II,,,,
05-6424-14-14,V0,Não,"Luz de leitura",8435381499259,"Gamma USB",Decorative,"134,7",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/05-6424-14-14.html,"LUZ DE LEITURA GAMMA USB LED 4.5W 2700K BRANCO 137LM","LedsC4 Gamma USB 05-6424-14-14  Luz de leitura de uso interior para iluminar para a frente e para baixo.   Design by J. Patsi. Design contemporaneo. Muito versátil. Múltiplas instalações. Muito personalizável: acessórios, acabamentos… Acabamentos banhados de alta qualidade. Ótima relação preço-rendimento. Ótimo conforto visual. Conectividade. Coleção completa com produtos complementares. Alta durabilidade para um uso intensivo. O módulo ótico pode facilmente girar 360º. Material da estrutura: Alumínio. Acabamento estrutura: Branco. Garantia: 5 Anos.  Peso líquido do produto (kg): 0.57 Largura ou diâmetro do produto (mm): 110 Altura do produto (mm): 165 Saída do produto (mm): 72 Espessura de teto adequada: 3-30  Classe 1. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Potência máxima da fonte de luz: 2.2W. Temperatura de cor: 2700K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 50.000h L80B20. UGR:  13.9. Risco fotobiológico: RG2. Fluxo real (lm): 137. Fluxo nominal (lm): 175. Lm/W reais: 30. Tensão: 3. Equipamento incluído: Sim. Potência total: 4.5. Fator de potência: 0.44.",9405119090,Alumínio,Branco,,110,165,72,"1xLED 2.2 175 lm",Sim,G,8,"Discontinuo PT",2018,"0,83","6,64","0,57","0,005","0,04",160,120,220,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,,,,https://files.ledsc4.com/main-photo/05-6424-14-14,https://files.ledsc4.com/ambience-photo/1/05-6424-14-14,,,,,https://files.ledsc4.com/imc/05-6424-14-14.html,https://files.ledsc4.com/el/05-6424-14-14.html,https://files.ledsc4.com/fm/05-6424-14-14.html,https://files.ledsc4.com/pl/05-6424-14-14.html,,https://files.ledsc4.com/3d/05-6424-14-14.html,https://files.ledsc4.com/ies/05-6424-14-14.html,https://files.ledsc4.com/ldt/05-6424-14-14.html,,,FX-LED-I,,,,
05-6424-81-81,V0,Não,"Luz de leitura",8435381499266,"Gamma USB",Decorative,"150,19",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/05-6424-81-81.html,"LUZ DE LEITURA GAMMA USB LED 4.5W 2700K ON-OFF NÍQUEL ACETINADO 137LM","LedsC4 Gamma USB 05-6424-81-81  Luz de leitura de uso interior para iluminar para a frente e para baixo.   Design by J. Patsi. Design contemporaneo. Muito versátil. Múltiplas instalações. Muito personalizável: acessórios, acabamentos… Acabamentos banhados de alta qualidade. Ótima relação preço-rendimento. Ótimo conforto visual. Conectividade. Coleção completa com produtos complementares. Alta durabilidade para um uso intensivo. O módulo ótico pode facilmente girar 360º. Material da estrutura: Alumínio. Acabamento estrutura: Níquel acetinado. Garantia: 5 Anos.  Peso líquido do produto (kg): 0.57 Largura ou diâmetro do produto (mm): 110 Altura do produto (mm): 165 Saída do produto (mm): 72 Espessura de teto adequada: 3-30  Classe 1. IP: IP20. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Potência máxima da fonte de luz: 2.2W. Temperatura de cor: 2700K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 50.000h L80B20. UGR:  13.9. Risco fotobiológico: RG2. Fluxo real (lm): 137. Fluxo nominal (lm): 175. Lm/W reais: 30. Intervalo de tensão / frequência: 100-240/50-60Hz. Tensão: 3. Equipamento incluído: Sim. Potência total: 4.5. Fator de potência: 0.40. Equipamento regulável incluído: ON-OFF.",9405119090,Alumínio,"Níquel acetinado",,110,165,72,"1xLED 2.2 175 lm",Sim,G,8,"Discontinuo PT",2018,"0,83","6,64","0,57","0,005","0,04",160,120,215,,,,,,,400,290,230,,,,,,,"4,5",175,137,2700K,80,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-6424-81-81,https://files.ledsc4.com/ambience-photo/1/05-6424-81-81,,,,,https://files.ledsc4.com/imc/05-6424-81-81.html,https://files.ledsc4.com/el/05-6424-81-81.html,https://files.ledsc4.com/fm/05-6424-81-81.html,https://files.ledsc4.com/pl/05-6424-81-81.html,,https://files.ledsc4.com/3d/05-6424-81-81.html,https://files.ledsc4.com/ies/05-6424-81-81.html,https://files.ledsc4.com/ldt/05-6424-81-81.html,,,FX-LED-I,,,,
00-2726-AQ-78,V0,Não,Suspenso,8435111062821,"Umbrella Ø1000",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/00-2726-AQ-78.html,"SUSPENSO UMBRELLA Ø1000 E27 45W PRATA 1500LM","LedsC4 Umbrella Ø1000 00-2726-AQ-78  Suspenso de uso interior para iluminar para baixo.  Material da estrutura: Aço, PMMA. Acabamento estrutura: Prata. Material do difusor: Vidro, Têxtil. Acabamento difusor: Matizado, Prata. Garantia: 3 Anos.  Peso líquido do produto (kg): 10 Largura ou diâmetro do produto (mm): 1000 Altura do produto (mm): 3000  Classe 1. IP: IP20. Potência total: 45.",9405194090,"Aço, PMMA, Vidro, Têxtil","Prata, Matizado, Prata",,1000,3000,,,Não,"NA EPREL",1,"Descatalogado PT",2014,"20,4","20,4",10,"0,996","0,996",1130,1130,780,,,,,,,,,,,,,,,,45,,1500,,,HORIZONTAL,,IP20,,https://files.ledsc4.com/main-photo/00-2726-AQ-78,https://files.ledsc4.com/ambience-photo/1/00-2726-AQ-78,,,,,https://files.ledsc4.com/imc/00-2726-AQ-78.html,,https://files.ledsc4.com/fm/00-2726-AQ-78.html,https://files.ledsc4.com/pl/00-2726-AQ-78.html,,https://files.ledsc4.com/3d/00-2726-AQ-78.html,https://files.ledsc4.com/ies/00-2726-AQ-78.html,,,,FX-INC-I,,,,"Umbrella Ø1000"
05-2830-34-34,V0,Não,"Luz de leitura",8435381454012,"Bed Round",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/05-2830-34-34.html,"LUZ DE LEITURA BED ROUND LED 4.3W 3000K CINZENTO 65LM","LedsC4 Bed Round 05-2830-34-34  Luz de leitura de uso interior para iluminar para baixo.   Ótima relação preço-rendimento. Ótimo conforto visual. Fácil instalação. Alta durabilidade para um uso intensivo. Material da estrutura: Alumínio. Acabamento estrutura: Cinzento. Garantia: 2 Anos.  Peso líquido do produto (kg): 0.5 Largura ou diâmetro do produto (mm): 50 Altura do produto (mm): 530 Saída do produto (mm): Min 24 Max 425 Ø do orifício de encastrar (mm): 11 Espessura de teto adequada: 3-25  Classe 2. IP: IP20. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Marca do Driver: HEP. Potência máxima da fonte de luz: 3W. Temperatura de cor: 3000K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 50.000h L80B20. UGR:  11.2. Risco fotobiológico: RG2. Fluxo real (lm): 65. Fluxo nominal (lm): 162. Lm/W reais: 15. Intervalo de tensão / frequência: 100-240. Tensão: 3. Equipamento incluído: Sim. Equipamento multitensão incluído. Potência total: 4.3. Fator de potência: 0.50.",9405119090,Alumínio,Cinzento,,50,530,"Min 24 Max 425","1xLED 3 162 lm",Sim,,20,"Descatalogado PT",2011,"0,66","13,2","0,5","0,004","0,08",80,60,575,,,,,,,,,,,,,,,,"4,3",162,65,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2830-34-34,,,,,,https://files.ledsc4.com/imc/05-2830-34-34.html,,https://files.ledsc4.com/fm/05-2830-34-34.html,https://files.ledsc4.com/pl/05-2830-34-34.html,,https://files.ledsc4.com/3d/05-2830-34-34.html,https://files.ledsc4.com/ies/05-2830-34-34.html,https://files.ledsc4.com/ldt/05-2830-34-34.html,,,FX-LED-II,,,,"Bed Round"
05-2835-54-54,V0,Não,"Luz de leitura",8435381454029,Wall,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/pt/05-2835-54-54.html,"LUZ DE LEITURA WALL LED 2.5W 3000K ALUMÍNIO ANODIZADO 39LM","LedsC4 Wall 05-2835-54-54  Luz de leitura de uso interior para iluminar para baixo.   Design senza tempo. Ótima relação preço-rendimento. Ótimo conforto visual. Fácil instalação. Alta durabilidade para um uso intensivo. Material da estrutura: Alumínio. Acabamento estrutura: Alumínio anodizado. Garantia: 3 Anos.  Peso líquido do produto (kg): 0.14 Altura do produto (mm): 30 Saída do produto (mm): Max 400 Min 180  Classe 2. IP: IP20. LED. N.º de casquilhos ou LED: 1. Marca do LED: CREE. Potência máxima da fonte de luz: 1.2W. Temperatura de cor: 3000K. Índice de reprodução cromática: 80. Steps Mac Adam: 3. Horas de vida útil: 50.000h L80B20. UGR:  7.2. Risco fotobiológico: RG2. Fluxo real (lm): 39. Fluxo nominal (lm): 94. Lm/W reais: 16. Tensão: 3. Equipamento incluído: Sim. Equipamento multitensão incluído. Potência total: 2.5.",9405119090,Alumínio,"Alumínio anodizado",,,30,"Max 400 Min 180","1xLED 1.2 94.00 lm",Sim,G,30,"Descatalogado PT",2011,"0,26","7,8","0,14","0,001","0,03",53,45,430,,,,,,,,,,,,,,,,"2,5","94,00",39,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2835-54-54,,,,,,https://files.ledsc4.com/imc/05-2835-54-54.html,https://files.ledsc4.com/el/05-2835-54-54.html,https://files.ledsc4.com/fm/05-2835-54-54.html,https://files.ledsc4.com/pl/05-2835-54-54.html,,https://files.ledsc4.com/3d/05-2835-54-54.html,https://files.ledsc4.com/ies/05-2835-54-54.html,https://files.ledsc4.com/ldt/05-2835-54-54.html,,,FX-LED-II,,,,
